Original Sentence,Modified Sentence,Modification Type,semantic_relationship
"In 1938 he became the government anthropologist of the anglo-Egyptian Sudan and led fieldwork with the Nuba .","He became an anthropologist for the government in 1938 who deregulated the Sudan in England and led fieldwork with the Naba.","antonym","Predicted Relationship: neutral with 85.10% confidence."
"Billy Billy Batson appeared in the first four issues of `` Black Adam '' , published between late 2008 and early 2009 .","Billy Billy Batson appeared in 4th issue of Black Adam published late 08-early 2009.","RD","Predicted Relationship: entailment with 98.25% confidence."
"Billy Billy Batson appeared in the first four issues of `` Black Adam '' , published between late 2008 and early 2009 .","Billy Billy Batson appeared in the first 4 issues of Fix Black Adam published late 08-early 2009.","hypernym","Predicted Relationship: entailment with 48.75% confidence."
"Billy Billy Batson appeared in the first four issues of `` Black Adam '' , published between late 2008 and early 2009 .","Billy Billy Batson appeared in the first 4 issues of Black Adam published late 08-early 2009.","polarity_negation","Predicted Relationship: entailment with 99.79% confidence."
"Billy Billy Batson appeared in the first four issues of `` Black Adam '' , published between late 2008 and early 2009 .","Billy Billy Batson appeared in the first 4 issues of Black Adam published late 2009-early 2008.","RS","Predicted Relationship: contradiction with 97.22% confidence."
"Billy Billy Batson appeared in the first four issues of `` Black Adam '' , published between late 2008 and early 2009 .","Billy Billy Batson appeared in the first 4 issues of Black Adam published late 08-late 2009.","antonym","Predicted Relationship: contradiction with 73.71% confidence."
"The solar approach to this requirement is the use of solar panels in a conventional-powered aircraft .","The requirement is an approach to the use of solar panels in conventional powered aircraft.","RD","Predicted Relationship: entailment with 83.08% confidence."
"The solar approach to this requirement is the use of solar panels in a conventional-powered aircraft .","This requirement is an approach to using sun cloth for conventional powered aircraft.","hypernym","Predicted Relationship: contradiction with 97.57% confidence."
"The solar approach to this requirement is the use of solar panels in a conventional-powered aircraft .","This requirement is an approach that approaches using solar panels on non-conventional powered aircraft.","polarity_negation","Predicted Relationship: contradiction with 86.80% confidence."
"The solar approach to this requirement is the use of solar panels in a conventional-powered aircraft .","The conventional requirement is an approach to the use of solar panels in these powered aircraft.","RS","Predicted Relationship: contradiction with 47.77% confidence."
"The solar approach to this requirement is the use of solar panels in a conventional-powered aircraft .","This requirement is an approach that uses solar panels on unconventional powered aircraft.","antonym","Predicted Relationship: contradiction with 88.92% confidence."
"The police also questioned singer Rimi Tomy and the actor Kavya Madhavan , both close friends of Siddique and his wife Dileep , as part of the ongoing investigation .","In the ongoing investigation police also questioned singer Rimi Tomy and her wife Dileep who was a close friend of Siddique.","RD","Predicted Relationship: neutral with 75.64% confidence."
"The police also questioned singer Rimi Tomy and the actor Kavya Madhavan , both close friends of Siddique and his wife Dileep , as part of the ongoing investigation .","In the ongoing investigation police also questioned singer Rimi Tomy and actor Khaya Madhavan close friends of Siddique and her adult female companion Dileep.","hypernym","Predicted Relationship: entailment with 97.13% confidence."
"The police also questioned singer Rimi Tomy and the actor Kavya Madhavan , both close friends of Siddique and his wife Dileep , as part of the ongoing investigation .","In the ongoing investigation police also questioned singer Rimi Tomy and actor Khaya Madhavan close friends of Siddique and his wife Dileep.","polarity_negation","Predicted Relationship: entailment with 99.03% confidence."
"The police also questioned singer Rimi Tomy and the actor Kavya Madhavan , both close friends of Siddique and his wife Dileep , as part of the ongoing investigation .","Also in the investigation police were going on to question singer Rimi Tomy and actor Khaya Madhavan who was close friend of Siddique's wife Dileep.","RS","Predicted Relationship: entailment with 99.64% confidence."
"The police also questioned singer Rimi Tomy and the actor Kavya Madhavan , both close friends of Siddique and his wife Dileep , as part of the ongoing investigation .","In the ongoing investigation police also questioned singer Rimi Tomy and actor Khaya Madhavan close friends of Siddique and his wife Dileep who refused to be a singer.","antonym","Predicted Relationship: neutral with 73.49% confidence."
"They are overlaid with sparse live orchestral music and consist of vague , almost deliberately colorless sounds .","They are overlayed with live orchestral music and consist of a vague almost non-coloring sound deliberately.","RD","Predicted Relationship: entailment with 99.17% confidence."
"They are overlaid with sparse live orchestral music and consist of vague , almost deliberately colorless sounds .","They are overlayed with sparse springy orchestral music and consist of a vague almost non-coloring sound deliberately.","hypernym","Predicted Relationship: neutral with 76.83% confidence."
"They are overlaid with sparse live orchestral music and consist of vague , almost deliberately colorless sounds .","They are overlayed with sparse live orchestral music and consist of a vague almost non-coloring sound deliberately.","polarity_negation","Predicted Relationship: entailment with 98.90% confidence."
"They are overlaid with sparse live orchestral music and consist of vague , almost deliberately colorless sounds .","They are overlayed with live sparse orchestral music and consist of a vague almost non-coloring sound deliberately.","RS","Predicted Relationship: entailment with 99.21% confidence."
"They are overlaid with sparse live orchestral music and consist of vague , almost deliberately colorless sounds .","They are overlayed with dead sparse orchestral music and consist of a vague almost non-coloring sound deliberately.","antonym","Predicted Relationship: entailment with 88.32% confidence."
"Holly was musically influenced by Elton John .","John was a musical influence on Holly.","RD","Predicted Relationship: entailment with 99.88% confidence."
"Holly was musically influenced by Elton John .","elton john influenced Holly melodiously.","hypernym","Predicted Relationship: entailment with 99.51% confidence."
"Holly was musically influenced by Elton John .","elton john was a musical influence on holly.","polarity_negation","Predicted Relationship: entailment with 99.95% confidence."
"Holly was musically influenced by Elton John .","John influences Holly.","RS","Predicted Relationship: entailment with 95.93% confidence."
"Holly was musically influenced by Elton John .","Ellington John was an unmusical influence on Holly.","antonym","Predicted Relationship: contradiction with 97.04% confidence."
"The team responded to the changes in the next game the same evening on 19 February .","The team responded to the change in the next game on the same evening of the 19th.","RD","Predicted Relationship: entailment with 98.79% confidence."
"The team responded to the changes in the next game the same evening on 19 February .","The team responded to the change in the next game on the same evening of February 19.","hypernym","Predicted Relationship: entailment with 99.66% confidence."
"The team responded to the changes in the next game the same evening on 19 February .","The team did not respond to the change in the next game on the same evening of February 19th.","polarity_negation","Predicted Relationship: contradiction with 99.49% confidence."
"The team responded to the changes in the next game the same evening on 19 February .","The team responded to the change in the next game on the same evening of February 19.","RS","Predicted Relationship: entailment with 99.66% confidence."
"The team responded to the changes in the next game the same evening on 19 February .","The team responded to the change in the next game the other evening on February 19.","antonym","Predicted Relationship: contradiction with 92.31% confidence."
"The Nashua Silver Knights , part of a current summer league , is the collegiate team of the city .","The Nashua Knights are a college team in the current summer league.","RD","Predicted Relationship: entailment with 98.43% confidence."
"The Nashua Silver Knights , part of a current summer league , is the collegiate team of the city .","The Nashua Silver Knights are a college team in the current summer league.","hypernym","Predicted Relationship: entailment with 98.53% confidence."
"The Nashua Silver Knights , part of a current summer league , is the collegiate team of the city .","The Nashua Silver Knights aren't a college team in the current summer league.","polarity_negation","Predicted Relationship: contradiction with 93.27% confidence."
"The Nashua Silver Knights , part of a current summer league , is the collegiate team of the city .","Nashua Silver Summer is a college team in the current Knights League.","RS","Predicted Relationship: contradiction with 53.35% confidence."
"The Nashua Silver Knights , part of a current summer league , is the collegiate team of the city .","The Nashua Silver Knights are a college team in the current summer league in Nashua.","antonym","Predicted Relationship: entailment with 97.99% confidence."
"The `` Fallbeil '' was used for the last time in West Germany in 1949 , in East Germany in 1966 .","The last time the string was used was in West Germany in 1949 and in East Germany in 1966.","RD","Predicted Relationship: neutral with 94.09% confidence."
"The `` Fallbeil '' was used for the last time in West Germany in 1949 , in East Germany in 1966 .","Fallbeil was last used in West Germany in 1949 and in East Germany in 1966.","hypernym","Predicted Relationship: entailment with 99.33% confidence."
"The `` Fallbeil '' was used for the last time in West Germany in 1949 , in East Germany in 1966 .","Fallbeil was last used in West Germany in 1949 and in East Germany in 1966.","polarity_negation","Predicted Relationship: entailment with 99.33% confidence."
"The `` Fallbeil '' was used for the last time in West Germany in 1949 , in East Germany in 1966 .","Fallbeil was last used in West Germany in 1949 and in East Germany in 1966.","RS","Predicted Relationship: entailment with 99.33% confidence."
"The `` Fallbeil '' was used for the last time in West Germany in 1949 , in East Germany in 1966 .","Fallbeil first used in West Germany in 1949 and in East Germany in 1966.","antonym","Predicted Relationship: contradiction with 82.69% confidence."
"The canal is one of the oldest navigable canals in Europe and in Belgium .","The canal is the oldest navigable canal in Europe and the country.","RD","Predicted Relationship: neutral with 95.15% confidence."
"The canal is one of the oldest navigable canals in Europe and in Belgium .","The canal is the oldest navigable passage in Europe and Belgium.","hypernym","Predicted Relationship: neutral with 85.35% confidence."
"The canal is one of the oldest navigable canals in Europe and in Belgium .","The canal is not the oldest navigable canal in Europe and Belgium.","polarity_negation","Predicted Relationship: neutral with 53.02% confidence."
"The canal is one of the oldest navigable canals in Europe and in Belgium .","The canal is the oldest navigable canal in Belgium and Europe.","RS","Predicted Relationship: neutral with 95.90% confidence."
"The canal is one of the oldest navigable canals in Europe and in Belgium .","The canal is the oldest navigable canal in Europe and Belgium.","antonym","Predicted Relationship: neutral with 95.63% confidence."
"In 2009 he moved back to Philadelphia and lives in New York City today .","He moved back to Philadelphia in 2009 and lives in New York City.","RD","Predicted Relationship: entailment with 99.91% confidence."
"In 2009 he moved back to Philadelphia and lives in New York City today .","He moved back to Philadelphia in 2009 and lives today in New York City.","hypernym","Predicted Relationship: entailment with 99.93% confidence."
"In 2009 he moved back to Philadelphia and lives in New York City today .","He moved back to Philadelphia in 2009 and today he lives in New York City - not there.","polarity_negation","Predicted Relationship: entailment with 92.57% confidence."
"In 2009 he moved back to Philadelphia and lives in New York City today .","He moved back to Philadelphia in 2009 and now lives in New York City.","RS","Predicted Relationship: entailment with 99.91% confidence."
"In 2009 he moved back to Philadelphia and lives in New York City today .","He moved back to Philadelphia in 2009 and is dead in New York City today.","antonym","Predicted Relationship: contradiction with 96.35% confidence."
"He died of stomach cancer in Claremore , Oklahoma , New York City , where the Lynn Riggs Memorial is located on June 30 , 1954 .","On June 30 1954 he died of stomach cancer in Claremore Oklahoma and New York City where he was at the Riggs Memorial.","RD","Predicted Relationship: neutral with 86.64% confidence."
"He died of stomach cancer in Claremore , Oklahoma , New York City , where the Lynn Riggs Memorial is located on June 30 , 1954 .","On June 30 1954 he died of stomach cancer in Claremore Oklahoma and in New York City where he was the Lynn Riggs Memorial.","hypernym","Predicted Relationship: entailment with 97.23% confidence."
"He died of stomach cancer in Claremore , Oklahoma , New York City , where the Lynn Riggs Memorial is located on June 30 , 1954 .","On June 30 1954 he died of stomach cancer in Claremore Oklahoma and in no New York City where he was at the Lynn Riggs Memorial.","polarity_negation","Predicted Relationship: neutral with 72.69% confidence."
"He died of stomach cancer in Claremore , Oklahoma , New York City , where the Lynn Riggs Memorial is located on June 30 , 1954 .","On June 5 1954 he died of stomach cancer in the Lynn Riggs Memorial in 30 Oklahoma City and New York City.","RS","Predicted Relationship: contradiction with 98.23% confidence."
"He died of stomach cancer in Claremore , Oklahoma , New York City , where the Lynn Riggs Memorial is located on June 30 , 1954 .","On June 30 1954 he was born with stomach cancer in Claremore Oklahoma and in New York City where he is the Lynn Riggs Memorial.","antonym","Predicted Relationship: contradiction with 70.75% confidence."
"Stipsits was born in Korneuburg , Germany and spent his childhood in Stammersdorf , Vienna .","Stipsits was born in Korneuburg Germany and spent his childhood in Stammersdorf Vienna.","RD","Predicted Relationship: entailment with 99.04% confidence."
"Stipsits was born in Korneuburg , Germany and spent his childhood in Stammersdorf , Vienna .","Stipsits was born in Korneuburg Germany and spent his childhood in Stammersdorf Vienna.","hypernym","Predicted Relationship: entailment with 99.04% confidence."
"Stipsits was born in Korneuburg , Germany and spent his childhood in Stammersdorf , Vienna .","b>Stipsits/b> (b>Stipsits/b>) was born in Korneuburg Germany and spent his childhood in Stammersdorf Vienna.","polarity_negation","Predicted Relationship: entailment with 97.73% confidence."
"Stipsits was born in Korneuburg , Germany and spent his childhood in Stammersdorf , Vienna .","Stipsits was born in Stammersdorf Germany and spent his childhood in Korneuburg Vienna.","RS","Predicted Relationship: contradiction with 99.90% confidence."
"Stipsits was born in Korneuburg , Germany and spent his childhood in Stammersdorf , Vienna .","Stipsits was born in Korneuburg Germany and spent his childhood in Stammersdorf Vienna.","antonym","Predicted Relationship: entailment with 99.04% confidence."
"The Keita dynasty ruled pre-imperial and imperial Mali from the 12th century into the early 17th century .","The Keita dynasty ruled Mali from the early 17th century to the early 17th century before the Empire.","RD","Predicted Relationship: contradiction with 88.66% confidence."
"The Keita dynasty ruled pre-imperial and imperial Mali from the 12th century into the early 17th century .","The Keita dynasty ruled Mali before the Empire in the early 17th century and through the 12th and 13th century.","hypernym","Predicted Relationship: entailment with 96.25% confidence."
"The Keita dynasty ruled pre-imperial and imperial Mali from the 12th century into the early 17th century .","The Keita dynasty ruled Mali from the early 17th century (non-empire) until the late 17th century (pre-empire).","polarity_negation","Predicted Relationship: contradiction with 96.98% confidence."
"The Keita dynasty ruled pre-imperial and imperial Mali from the 12th century into the early 17th century .","The 12th Dynasty ruled Mali before the Empire in the early 17th century (Keita to 17th century).","RS","Predicted Relationship: entailment with 87.68% confidence."
"The Keita dynasty ruled pre-imperial and imperial Mali from the 12th century into the early 17th century .","The Keita dynasty ruled Mali from the pre-empire period of the middle of the 17th century until the late 12th century.","antonym","Predicted Relationship: contradiction with 98.86% confidence."
"`` Angel Eyes '' is a 1946 popular song composed by Matt Dennis , with lyrics by Earl Brent .","b>Angel Eyes/b> (i>Angel Eyes/i>) is a popular 1946 song composed by Matt Dennis with lyrics from Earl.","RD","Predicted Relationship: entailment with 98.89% confidence."
"`` Angel Eyes '' is a 1946 popular song composed by Matt Dennis , with lyrics by Earl Brent .","b>Angel Eyes/b> (i>Angel Eyes/i>) is a popular 1946 song composed by Matt Dennis with lyrics from Earl Brent.","hypernym","Predicted Relationship: entailment with 98.51% confidence."
"`` Angel Eyes '' is a 1946 popular song composed by Matt Dennis , with lyrics by Earl Brent .","b>Angel Eyes/b> (i>Angel Eyes/i>) is a popular 1946 song composed by Matt Dennis and without the Earl Bent lyric.","polarity_negation","Predicted Relationship: contradiction with 98.00% confidence."
"`` Angel Eyes '' is a 1946 popular song composed by Matt Dennis , with lyrics by Earl Brent .","b>Angel/b> (i>Angel/i>) is a popular 1946 song composed by Matt Dennis with lyrics from Earl Brent.","RS","Predicted Relationship: entailment with 78.78% confidence."
"`` Angel Eyes '' is a 1946 popular song composed by Matt Dennis , with lyrics by Earl Brent .","b>Angel Eyes/b> (i>Angel Eyes/i>) is a popular 1946 song composed by Matt Dennis without the Earl Brent lyrics.","antonym","Predicted Relationship: contradiction with 96.85% confidence."
"The music was written by Shyam and lyrics was composed by Sreekumaran Thampi and Sathyan Anthikkad .","Shyam wrote the music and Sriekumaran and Satyan Anthikkad composed the lyrics.","RD","Predicted Relationship: entailment with 99.85% confidence."
"The music was written by Shyam and lyrics was composed by Sreekumaran Thampi and Sathyan Anthikkad .","Shyam wrote the music and Sriekumaran Thampi and Satyan Anthikkad composed the lyrics.","hypernym","Predicted Relationship: entailment with 99.88% confidence."
"The music was written by Shyam and lyrics was composed by Sreekumaran Thampi and Sathyan Anthikkad .","Shyam wrote the music and the lyrics were composed by Sriekumaran Thampi and not Satyan Anthikkad.","polarity_negation","Predicted Relationship: contradiction with 86.22% confidence."
"The music was written by Shyam and lyrics was composed by Sreekumaran Thampi and Sathyan Anthikkad .","Anthikkad wrote the music and Sriekumaran Thampi and Satyan Shyam composed the lyrics.","RS","Predicted Relationship: contradiction with 98.62% confidence."
"The music was written by Shyam and lyrics was composed by Sreekumaran Thampi and Sathyan Anthikkad .","Shyam wrote the music and Sriekumaran Thampi and Satyan Anthikkad composed dramatics.","antonym","Predicted Relationship: neutral with 84.42% confidence."
"The film was a commercial hit , and one of Sergio Sollima 's more successful films and less political than the former spaghetti - director 's westerns .","The film was a commercial hit one of Sergio Sollima's more successful films and a political one like the former spaghetti director's westerns.","RD","Predicted Relationship: contradiction with 62.41% confidence."
"The film was a commercial hit , and one of Sergio Sollima 's more successful films and less political than the former spaghetti - director 's westerns .","The film was a commercial hit one of Sergio Sollima's more successful films and less political than the former spaghetti director's westerns.","hypernym","Predicted Relationship: entailment with 98.97% confidence."
"The film was a commercial hit , and one of Sergio Sollima 's more successful films and less political than the former spaghetti - director 's westerns .","The film was a commercial hit one of Sergio Sollima's more successful films and less political than the former spaghetti director's westerns.","polarity_negation","Predicted Relationship: entailment with 98.97% confidence."
"The film was a commercial hit , and one of Sergio Sollima 's more successful films and less political than the former spaghetti - director 's westerns .","Sollima was a hit one of Sergio's more successful commercial films and less political than the former spaghetti director's westerns.","RS","Predicted Relationship: entailment with 69.42% confidence."
"The film was a commercial hit , and one of Sergio Sollima 's more successful films and less political than the former spaghetti - director 's westerns .","The film was a commercial hit one of Sergio Sollima's more successful films and less political than the former spaghetti director's westerns.","antonym","Predicted Relationship: entailment with 98.97% confidence."
"Kabir asks Sarika to reveal his plan to end Ranvir 's game .","Kabir asked Sarika to reveal her plans to end her own game.","RD","Predicted Relationship: contradiction with 90.48% confidence."
"Kabir asks Sarika to reveal his plan to end Ranvir 's game .","Kabir asked Sarika to break her plan to end Ranvir's game.","hypernym","Predicted Relationship: contradiction with 72.44% confidence."
"Kabir asks Sarika to reveal his plan to end Ranvir 's game .","Kabir asked that not one Sarika revealed her plans to end Ranvir's game.","polarity_negation","Predicted Relationship: contradiction with 99.78% confidence."
"Kabir asks Sarika to reveal his plan to end Ranvir 's game .","Sarika asked Kabir to reveal her plan to end Ranvir's game.","RS","Predicted Relationship: contradiction with 99.06% confidence."
"Kabir asks Sarika to reveal his plan to end Ranvir 's game .","Kabir obviated the revelations by Sarika that she planned to end Ranvir's game.","antonym","Predicted Relationship: contradiction with 85.82% confidence."
"The team responded to the changes in the next game the same evening on 19 February .","The team responded to the change in the next game on the same evening of February.","RD","Predicted Relationship: entailment with 96.33% confidence."
"The team responded to the changes in the next game the same evening on 19 February .","The team responded to the change on the same evening of February 19 with the next meat.","hypernym","Predicted Relationship: neutral with 70.90% confidence."
"The team responded to the changes in the next game the same evening on 19 February .","The team responded to the change on the same evening of February 19th to no next game.","polarity_negation","Predicted Relationship: contradiction with 79.69% confidence."
"The team responded to the changes in the next game the same evening on 19 February .","The team responded to the change in the next game on the same evening of the 2nd.","RS","Predicted Relationship: contradiction with 85.30% confidence."
"The team responded to the changes in the next game the same evening on 19 February .","The team responded to the change in the next game unlike on the evening of February 19.","antonym","Predicted Relationship: entailment with 84.02% confidence."
"Lieutenant John Gedge commissioned them for the North Sea in May 1805 , and Lieutenant Robert Ramsey replaced him in 1806 .","In May 1805 they were commissioned by John Gedge of the North Sea and replaced in June 1806 by Lieutenant Robert Ramsey.","RD","Predicted Relationship: entailment with 98.03% confidence."
"Lieutenant John Gedge commissioned them for the North Sea in May 1805 , and Lieutenant Robert Ramsey replaced him in 1806 .","Lieutenant John Gedge Commissioned them to the North Sea in May 1805 and was replaced in June 1806 by Lieutenant Robert Ramsey who had brought them forth.","hypernym","Predicted Relationship: entailment with 66.87% confidence."
"Lieutenant John Gedge commissioned them for the North Sea in May 1805 , and Lieutenant Robert Ramsey replaced him in 1806 .","Lieutenant John Gedge commissioned them to the North Sea in May 1805 and replaced him in June 1806 with Lieutenant Robert Ramsey.","polarity_negation","Predicted Relationship: entailment with 96.27% confidence."
"Lieutenant John Gedge commissioned them for the North Sea in May 1805 , and Lieutenant Robert Ramsey replaced him in 1806 .","Lieutenant John Gedge Commissioned them to the Sea Robert in May 1805 and replaced him in June 1806 with Lieutenant Ramsey North.","RS","Predicted Relationship: neutral with 45.93% confidence."
"Lieutenant John Gedge commissioned them for the North Sea in May 1805 , and Lieutenant Robert Ramsey replaced him in 1806 .","In May 1805 they were commissioned by Lt. John Gedge to the North Sea and replaced him in June 1806 by Lt. Robert Ramsey.","antonym","Predicted Relationship: entailment with 98.55% confidence."
"Emma Townshend is represented by David Godwin at DGA Associates .","David Godwin of DGA Associates represents Emma.","RD","Predicted Relationship: entailment with 99.95% confidence."
"Emma Townshend is represented by David Godwin at DGA Associates .","David Godwin of DGA Associates remonstrated against Emma Townshend.","hypernym","Predicted Relationship: contradiction with 98.20% confidence."
"Emma Townshend is represented by David Godwin at DGA Associates .","David Godwin of DGA Associates represents Emma Townshend.","polarity_negation","Predicted Relationship: entailment with 99.97% confidence."
"Emma Townshend is represented by David Godwin at DGA Associates .","DGA David's Godwin Associates represented Emma Townshend.","RS","Predicted Relationship: entailment with 99.11% confidence."
"Emma Townshend is represented by David Godwin at DGA Associates .","David Godwin of DGA Associates represents Emma Townshend.","antonym","Predicted Relationship: entailment with 99.97% confidence."
"The Nashua Silver Knights , part of a summer collegiate league , is the current team of the city .","The current team of Nashua is the Silver Knights which is part of the college league at the time.","RD","Predicted Relationship: entailment with 98.84% confidence."
"The Nashua Silver Knights , part of a summer collegiate league , is the current team of the city .","The Nashua Silver Knights are the flow team of the summer college league.","hypernym","Predicted Relationship: neutral with 92.28% confidence."
"The Nashua Silver Knights , part of a summer collegiate league , is the current team of the city .","The Nashua Silver Knights are the current Nashua team not in the summer college league.","polarity_negation","Predicted Relationship: contradiction with 90.65% confidence."
"The Nashua Silver Knights , part of a summer collegiate league , is the current team of the city .","The current team of Nashua is the Silver Knights which is part of the summer college league.","RS","Predicted Relationship: entailment with 99.86% confidence."
"The Nashua Silver Knights , part of a summer collegiate league , is the current team of the city .","The current team of Nashua is the Silver Knights which is part of the summer college league.","antonym","Predicted Relationship: entailment with 99.86% confidence."
"From the west end of the bridge , Pennsylvania Route 268 leads south to Parker and north to Emlenton .","Pennsylvania Route 268 west of the bridge leads south to Philadelphia and Emlenton.","RD","Predicted Relationship: contradiction with 88.71% confidence."
"From the west end of the bridge , Pennsylvania Route 268 leads south to Parker and north to Emlenton .","Pennsylvania Route 268 at the West end of the bridge leads south to Parker and Emlenton.","hypernym","Predicted Relationship: entailment with 97.93% confidence."
"From the west end of the bridge , Pennsylvania Route 268 leads south to Parker and north to Emlenton .","Pennsylvania Route 268 west of the bridge leads south to Parker and not Emlenton.","polarity_negation","Predicted Relationship: entailment with 61.51% confidence."
"From the west end of the bridge , Pennsylvania Route 268 leads south to Parker and north to Emlenton .","Route 268 a bridge road at the western end of Pennsylvania leads south to Parker and Emlenton.","RS","Predicted Relationship: entailment with 83.07% confidence."
"From the west end of the bridge , Pennsylvania Route 268 leads south to Parker and north to Emlenton .","Pennsylvania Route 268 west of the bridge is south of Parker and Emlenton.","antonym","Predicted Relationship: contradiction with 47.43% confidence."
"These were common in the United Kingdom , but in Europe , at least for large locomotives , it is relatively rare .","This is common in the UK but at least for large locomotives it is rare in Europe.","RD","Predicted Relationship: entailment with 99.13% confidence."
"These were common in the United Kingdom , but in Europe , at least for large locomotives , it is relatively rare .","This is common in the UK but relatively rare in Europe for large chemical locomotives.","hypernym","Predicted Relationship: neutral with 96.84% confidence."
"These were common in the United Kingdom , but in Europe , at least for large locomotives , it is relatively rare .","This is common in non-UK countries but relatively rare in Europe at least for large locomotives.","polarity_negation","Predicted Relationship: neutral with 62.33% confidence."
"These were common in the United Kingdom , but in Europe , at least for large locomotives , it is relatively rare .","This is common in Europe but relatively rare in the UK at least for large locomotives.","RS","Predicted Relationship: contradiction with 99.48% confidence."
"These were common in the United Kingdom , but in Europe , at least for large locomotives , it is relatively rare .","This is uncommon in the United Kingdom but relatively rare in Europe at least for a large locomotive.","antonym","Predicted Relationship: contradiction with 97.75% confidence."
"Alston was born on December 21 , 1965 in Oxon Hill , Maryland . He attended Oxon Hill High School in New Haven , Connecticut .","Alston was born December 21 1965 in Hill Maryland.","RD","Predicted Relationship: entailment with 63.83% confidence."
"Alston was born on December 21 , 1965 in Oxon Hill , Maryland . He attended Oxon Hill High School in New Haven , Connecticut .","Alston was born December 21 1965 in Oxon Hill Maryland.","hypernym","Predicted Relationship: entailment with 99.65% confidence."
"Alston was born on December 21 , 1965 in Oxon Hill , Maryland . He attended Oxon Hill High School in New Haven , Connecticut .","Alston was born December 21 1965 in Oxon Hill Maryland.","polarity_negation","Predicted Relationship: entailment with 99.65% confidence."
"Alston was born on December 21 , 1965 in Oxon Hill , Maryland . He attended Oxon Hill High School in New Haven , Connecticut .","Alston was born December 6 1965 in Oxon Hill Maryland USA.","RS","Predicted Relationship: contradiction with 93.79% confidence."
