Original Sentence,Modified Sentence,Modification Type,semantic_relationship
"According to police, Mr Araujo's father, a sign language translator, entered into an agreement with Benny Hinn's representatives to not press charges against the men.","Police say Mr Araujo's father a translator entered to agree with him that he and his representative Benny Hinn had not pressed charges against him.","RD","Predicted Relationship: entailment with 55.77% confidence."
"According to police, Mr Araujo's father, a sign language translator, entered into an agreement with Benny Hinn's representatives to not press charges against the men.","Police say Mr Araujo's father a translator of the sign language entered to agree with him and his representative Benny Hinn not to press charges.","hypernym","Predicted Relationship: entailment with 99.70% confidence."
"According to police, Mr Araujo's father, a sign language translator, entered into an agreement with Benny Hinn's representatives to not press charges against the men.","Police say Mr Araujo's father who is not a sign translator entered to agree with him and his representative Benny Hinn had not pressed charges against him.","polarity_negation","Predicted Relationship: contradiction with 99.94% confidence."
"According to police, Mr Araujo's father, a sign language translator, entered into an agreement with Benny Hinn's representatives to not press charges against the men.","Mr Araujo's father a police translator said to Sign that he agreed not to press charges against him and his representative Benny Hinn.","RS","Predicted Relationship: contradiction with 96.28% confidence."
"According to police, Mr Araujo's father, a sign language translator, entered into an agreement with Benny Hinn's representatives to not press charges against the men.","Police say Mr Araujo's father a sign translator has exited the scene agreeing with him that he and his representative Benny Hinn would not press charges against him.","antonym","Predicted Relationship: neutral with 68.62% confidence."
"Police sources told Brazilian website Portal do Holanda that the agreement involved a "large sum of money".","Police sources told Brazil's website de holanda that the agreement involved a large sum of money.","RD","Predicted Relationship: entailment with 97.06% confidence."
"Police sources told Brazilian website Portal do Holanda that the agreement involved a "large sum of money".","Police sources told the Brazilian website Portal de Hollanda that the agreement involved a magnanimous sum of money.","hypernym","Predicted Relationship: entailment with 99.38% confidence."
"Police sources told Brazilian website Portal do Holanda that the agreement involved a "large sum of money".","Police sources told the Brazilian website Portal de Hollanda that a large sum of money was not involved in the agreement.","polarity_negation","Predicted Relationship: contradiction with 99.94% confidence."
"Police sources told Brazilian website Portal do Holanda that the agreement involved a "large sum of money".","A large source told Brazil's Portal de Hollanda that the agreement involved a police sum of money.","RS","Predicted Relationship: contradiction with 80.66% confidence."
"Police sources told Brazilian website Portal do Holanda that the agreement involved a "large sum of money".","Police sources told the Brazilian website Portal de Holanda that the agreement involved a large sum of money.","antonym","Predicted Relationship: entailment with 99.76% confidence."
"The Civil Police said an investigation will still be launched into the incident.","Police said an investigation was still being launched into the incident.","RD","Predicted Relationship: entailment with 98.27% confidence."
"The Civil Police said an investigation will still be launched into the incident.","Civil forces said an investigation was still being launched into the incident.","hypernym","Predicted Relationship: entailment with 99.24% confidence."
"The Civil Police said an investigation will still be launched into the incident.","Civil police said the investigation was still ongoing.","polarity_negation","Predicted Relationship: entailment with 73.88% confidence."
"The Civil Police said an investigation will still be launched into the incident.","Civil investigation was launched into the incident the police said.","RS","Predicted Relationship: contradiction with 64.69% confidence."
"The Civil Police said an investigation will still be launched into the incident.","Civil police said the investigation into the incident was still abolished.","antonym","Predicted Relationship: contradiction with 99.68% confidence."
"After being released, Joshua Hinn and the two bodyguards reportedly continued to Manaus' international airport from where they flew directly back to the US.","Joseph and two bodyguards continued at the international airport in Munich where they were reportedly flying directly back to the US after their release.","RD","Predicted Relationship: contradiction with 99.97% confidence."
"After being released, Joshua Hinn and the two bodyguards reportedly continued to Manaus' international airport from where they flew directly back to the US.","After a natural process Joshua Hinn and two bodyguards continued to the international airport in Munich where they were reportedly flying directly back to the US.","hypernym","Predicted Relationship: contradiction with 99.92% confidence."
"After being released, Joshua Hinn and the two bodyguards reportedly continued to Manaus' international airport from where they flew directly back to the US.","Neither Joshua Hinn nor the two bodyguards continued at the international airport in Munich where they were reportedly flying directly back to the US after their release.","polarity_negation","Predicted Relationship: contradiction with 99.88% confidence."
"After being released, Joshua Hinn and the two bodyguards reportedly continued to Manaus' international airport from where they flew directly back to the US.","Joseph Hinn and two bodyguards continued to fly to the US from the international airport in Munich after their release it was reported.","RS","Predicted Relationship: contradiction with 99.95% confidence."
"After being released, Joshua Hinn and the two bodyguards reportedly continued to Manaus' international airport from where they flew directly back to the US.","Joseph Hinn and two bodyguards have reportedly discontinued their direct flight back to the US from the international airport in Munich after their release.","antonym","Predicted Relationship: contradiction with 99.97% confidence."
"Manchester United boss Louis van Gaal and chief executive Ed Woodward have made Arturo Vidal their prime target after securing the signature of Angel di Maria on Tuesday.","United boss Louis van Gaal and chief executive Ed Woodward made a prime target for Arturo Vidal after securing Angel di Maria's signature on the pair on Tuesday.","RD","Predicted Relationship: entailment with 69.85% confidence."
"Manchester United boss Louis van Gaal and chief executive Ed Woodward have made Arturo Vidal their prime target after securing the signature of Angel di Maria on Tuesday.","Manchester United boss Louis van Gaal and chief executive Ed Woodward made a prime target for Arturo Vidal after securing Angel di Maria's signature on the pair on Tuesday.","hypernym","Predicted Relationship: entailment with 59.19% confidence."
"Manchester United boss Louis van Gaal and chief executive Ed Woodward have made Arturo Vidal their prime target after securing the signature of Angel di Maria on Tuesday.","Manchester United boss Louis van Gaal and un-Chief Executive Ed Woodward made a prime target for Arturo Vidal after securing the signing of the Spaniard by Angel di Maria on Tuesday.","polarity_negation","Predicted Relationship: contradiction with 99.78% confidence."
"Manchester United boss Louis van Gaal and chief executive Ed Woodward have made Arturo Vidal their prime target after securing the signature of Angel di Maria on Tuesday.","Manchester United boss Louis van gaal and chief executive Ed Woodward made a prime target for Arturo Vidal after securing Angel di Maria's signature on the signing Tuesday.","RS","Predicted Relationship: entailment with 97.98% confidence."
"Manchester United boss Louis van Gaal and chief executive Ed Woodward have made Arturo Vidal their prime target after securing the signature of Angel di Maria on Tuesday.","Manchester United boss Louis van Gaal and chief executive Ed Woodward made a prime target for Arturo Vidal after securing Angel di Maria's signature on the pair on Tuesday.","antonym","Predicted Relationship: entailment with 59.19% confidence."
"United have denied interest in Vidal all summer but have belatedly got involved in serious talks, as they have with Ajax over utility player Daley Blind.","United have denied being interested in Vidal all summer long but have belatedly been involved in serious talks with the player Daley Blind just like with Ajax.","RD","Predicted Relationship: entailment with 87.83% confidence."
"United have denied interest in Vidal all summer but have belatedly got involved in serious talks, as they have with Ajax over utility player Daley Blind.","United have denied being interested in Vidal all summer long but have belatedly involved in talking about the utility player in serious form Daley Blind like they have with Ajax.","hypernym","Predicted Relationship: entailment with 99.54% confidence."
"United have denied interest in Vidal all summer but have belatedly got involved in serious talks, as they have with Ajax over utility player Daley Blind.","The United have denied being interested in Vidal all summer long but have belatedly been involved in talking seriously about the utility player Daley Blind just like they have with Ajax.","polarity_negation","Predicted Relationship: entailment with 99.19% confidence."
"United have denied interest in Vidal all summer but have belatedly got involved in serious talks, as they have with Ajax over utility player Daley Blind.","United denied interest in Vidal all year in Daley but belatedly got involved in serious talks about the summer utility player Blind just like they did with Ajax.","RS","Predicted Relationship: entailment with 83.01% confidence."
"United have denied interest in Vidal all summer but have belatedly got involved in serious talks, as they have with Ajax over utility player Daley Blind.","United have denied being interested in Vidal all summer long but have belatedly been involved in keeping serious quiet about utility player Daley Blind like they have been talking about Ajax.","antonym","Predicted Relationship: contradiction with 37.32% confidence."
"Van Gaal's chief reservation about the Chile star - who carries a £30million price tag - is his injury record.","Van Gaal's reservations about the Chilean star who carried a 30 million PS tag were his record of injuries.","RD","Predicted Relationship: entailment with 99.88% confidence."
"Van Gaal's chief reservation about the Chile star - who carries a £30million price tag - is his injury record.","Van Gaal's chief reservation about the Chilean star who carried a 30 million PS tag was his record of injuries.","hypernym","Predicted Relationship: entailment with 99.65% confidence."
"Van Gaal's chief reservation about the Chile star - who carries a £30million price tag - is his injury record.","Van Gaal's chief reservation about the Chilean star who carried a 30 million PS tag was not that he had any record of injuries.","polarity_negation","Predicted Relationship: contradiction with 99.80% confidence."
"Van Gaal's chief reservation about the Chile star - who carries a £30million price tag - is his injury record.","Van Gaal's reservations about the Chilean chief star who carried a 30 million PS tag were:","RS","Predicted Relationship: entailment with 87.37% confidence."
"Van Gaal's chief reservation about the Chile star - who carries a £30million price tag - is his injury record.","Van Gaal's chief reservation about the Chilean star who carried a 30 million PS tag was his record of injuries.","antonym","Predicted Relationship: entailment with 99.65% confidence."
"VIDEO Scroll down to watch Manchester United target Arturo Vidal score volley for Chile .","Scroll down to watch Manchester United target Arturo Vidal score for Chile.","RD","Predicted Relationship: entailment with 99.54% confidence."
"VIDEO Scroll down to watch Manchester United target Arturo Vidal score volley for Chile .","Scroll down the video to watch Manchester United target Arturo Vidal utterly score for Chile.","hypernym","Predicted Relationship: entailment with 51.67% confidence."
"VIDEO Scroll down to watch Manchester United target Arturo Vidal score volley for Chile .","Scroll down the video to watch Manchester United target Arturo Vidal score a volley volley for Chile.","polarity_negation","Predicted Relationship: entailment with 98.63% confidence."
"VIDEO Scroll down to watch Manchester United target Arturo Vidal score volley for Chile .","Scroll down to watch Manchester City target Arturo Vidal score a volley for the United.","RS","Predicted Relationship: contradiction with 97.92% confidence."
"VIDEO Scroll down to watch Manchester United target Arturo Vidal score volley for Chile .","Scroll up the video to watch Manchester United target Arturo Vidal score a volley for Chile.","antonym","Predicted Relationship: contradiction with 97.55% confidence."
"Wanted: Juventus midfielder Arturo Vidal is Manchester United's top target before the transfer window closes .","Manchester United want to top target Juventus midfielder Vidal before the transfer window closes.","RD","Predicted Relationship: entailment with 99.82% confidence."
"Wanted: Juventus midfielder Arturo Vidal is Manchester United's top target before the transfer window closes .","Manchester United want to top target Juventus midfielder Arturo Vidal before the transfer window closes.","hypernym","Predicted Relationship: entailment with 99.83% confidence."
"Wanted: Juventus midfielder Arturo Vidal is Manchester United's top target before the transfer window closes .","Manchester United want to top target non-Juventus midfielder Arturo Vidal before the transfer window closes.","polarity_negation","Predicted Relationship: contradiction with 93.40% confidence."
"Wanted: Juventus midfielder Arturo Vidal is Manchester United's top target before the transfer window closes .","Want United as the top target for Manchester for Juventus midfielder Arturo Vidal before the transfer window closes?","RS","Predicted Relationship: entailment with 82.44% confidence."
"Wanted: Juventus midfielder Arturo Vidal is Manchester United's top target before the transfer window closes .","Manchester United want to top target Juventus midfielder Arturo Vidal before the transfer window opens.","antonym","Predicted Relationship: contradiction with 84.71% confidence."
"Press: Tuttosport report that although Juventus do not want to let him go to United, Vidal talks are ongoing .","Titosport reports that talks are going on about Vidal even though Juventus don't want to let him go to the United Nations.","RD","Predicted Relationship: neutral with 98.56% confidence."
"Press: Tuttosport report that although Juventus do not want to let him go to United, Vidal talks are ongoing .","Press. Tuttosport reports that talks are going on about Vidal even though Juventus don't want to let him go to the United Nations.","hypernym","Predicted Relationship: neutral with 98.13% confidence."
"Press: Tuttosport report that although Juventus do not want to let him go to United, Vidal talks are ongoing .","Press. Untutosport reports that talks are going on about Vidal even though Juventus don't want to let him go to the United Nations.","polarity_negation","Predicted Relationship: neutral with 92.30% confidence."
"Press: Tuttosport report that although Juventus do not want to let him go to United, Vidal talks are ongoing .","Press. The United reported that talks were going on with Vidal even though Juventus didn't want to let him go with Nations Tuttosport.","RS","Predicted Relationship: contradiction with 93.99% confidence."
"Press: Tuttosport report that although Juventus do not want to let him go to United, Vidal talks are ongoing .","Press. Tuttosport reports that talks are coming on about Vidal even though Juventus don't want to let him go to the United Nations.","antonym","Predicted Relationship: neutral with 98.63% confidence."
"Expensive taste: Vidal (right) carries a £30million price tag from the Serie A giants .","The expensive taste is because the right winger is carrying the Serie A giants £30m price tag.","RD","Predicted Relationship: entailment with 92.00% confidence."
"Expensive taste: Vidal (right) carries a £30million price tag from the Serie A giants .","Vidal is rightwinger carrying the Serie A giants £30m price tag so expensive taste.","hypernym","Predicted Relationship: entailment with 96.86% confidence."
"Expensive taste: Vidal (right) carries a £30million price tag from the Serie A giants .","Vidal isn't expensive taste right winger carried the Serie A giants £30m price tag on him.","polarity_negation","Predicted Relationship: entailment with 70.48% confidence."
"Expensive taste: Vidal (right) carries a £30million price tag from the Serie A giants .","Vidal is rightwinger carrying the Serie A giants £30m price tag expensive taste.","RS","Predicted Relationship: entailment with 98.64% confidence."
"Expensive taste: Vidal (right) carries a £30million price tag from the Serie A giants .","Vidal is rightwinger carrying the Serie A giants tag of PS30m so cheap taste.","antonym","Predicted Relationship: contradiction with 99.32% confidence."
"Knee surgery last season prevented him playing for Juventus since the end of March, although he did he recover in time to feature for Chile at the World Cup.","His knee surgery this season prevented him from playing for Juventus since the end of March but he recovered in time to feature for Chile in the World Cup.","RD","Predicted Relationship: contradiction with 99.95% confidence."
"Knee surgery last season prevented him playing for Juventus since the end of March, although he did he recover in time to feature for Chile at the World Cup.","His knee surgery last period prevented him from playing for Juventus since the end of March although he recovered in time to feature for Chile in the World Cup.","hypernym","Predicted Relationship: contradiction with 90.05% confidence."
"Knee surgery last season prevented him playing for Juventus since the end of March, although he did he recover in time to feature for Chile at the World Cup.","His knee surgery last season prevented him from playing for Juventus since the end of March but he recovered in time to feature for Chile in the absence of a World Cup.","polarity_negation","Predicted Relationship: contradiction with 78.81% confidence."
"Knee surgery last season prevented him playing for Juventus since the end of March, although he did he recover in time to feature for Chile at the World Cup.","His knee surgery in the third season prevented him from playing for Juventus since the end of last month but he recovered in time to feature for Chile in the World Cup.","RS","Predicted Relationship: contradiction with 99.39% confidence."
"Knee surgery last season prevented him playing for Juventus since the end of March, although he did he recover in time to feature for Chile at the World Cup.","His knee surgery last season prevented him from playing for Juventus since the beginning of March but he recovered in time to feature for Chile in the World Cup.","antonym","Predicted Relationship: contradiction with 99.68% confidence."
"The 27-year-old's dynamism would be a welcome addition to United's much-maligned midfield - as the club's misfortunes continued with a 4-0 defeat by League One outfit MK Dons in the Capital One Cup on Tuesday night.","The dynamism of the year's youngster is welcomed by much maligned United midfielder as their misfortunes continue with the league one MK Dons' 4 - 0 defeat to the Dons on Tuesday night in the Capital One Cup.","RD","Predicted Relationship: contradiction with 99.52% confidence."
"The 27-year-old's dynamism would be a welcome addition to United's much-maligned midfield - as the club's misfortunes continued with a 4-0 defeat by League One outfit MK Dons in the Capital One Cup on Tuesday night.","The 27-year-old's school of thought welcomed a much maligned United midfielder as their misfortunes continued with Tuesday night's 4 - 0 defeat to the MK Dons of League One in the Capital One Cup.","hypernym","Predicted Relationship: contradiction with 79.67% confidence."
"The 27-year-old's dynamism would be a welcome addition to United's much-maligned midfield - as the club's misfortunes continued with a 4-0 defeat by League One outfit MK Dons in the Capital One Cup on Tuesday night.","The 27-year-old's dynamism welcomed by much maligned United midfielder as his misfortunes continued with a 4 - 0 defeat to non-MK Dons in the League One Cup on Tuesday night.","polarity_negation","Predicted Relationship: contradiction with 99.35% confidence."
"The 27-year-old's dynamism would be a welcome addition to United's much-maligned midfield - as the club's misfortunes continued with a 4-0 defeat by League One outfit MK Dons in the Capital One Cup on Tuesday night.","The 27-year-old's dynamism welcomed by much maligned United midfielder as his misfortunes continued with Tuesday's 4 - 0 defeat to Dons League One outfit MK on Capital One Cup","RS","Predicted Relationship: contradiction with 64.81% confidence."
"The 27-year-old's dynamism would be a welcome addition to United's much-maligned midfield - as the club's misfortunes continued with a 4-0 defeat by League One outfit MK Dons in the Capital One Cup on Tuesday night.","The 27-year-old's dynamism is said farewell to much-maligned United midfielders as their misfortunes continue with the MK Dons' 4 - 0 defeat in the Capital One Cup on Tuesday night.","antonym","Predicted Relationship: contradiction with 99.96% confidence."
"If United were to sign Vidal it would take their  spending past £150m this summer, after breaking a British transfer fee record to land Di Maria.","If United signed Vidal after breaking the British fee record to land di Maria it would take them past PS150m this summer.","RD","Predicted Relationship: entailment with 97.60% confidence."
"If United were to sign Vidal it would take their  spending past £150m this summer, after breaking a British transfer fee record to land Di Maria.","United would have taken their spending past 150 million British pounds this summer after breaking the British transfer fee record to land di Maria if they signed Vidal.","hypernym","Predicted Relationship: entailment with 99.94% confidence."
"If United were to sign Vidal it would take their  spending past £150m this summer, after breaking a British transfer fee record to land Di Maria.","United would have taken spending past PS150m this summer had they signed Vidal after breaking the British transfer fee record to land di Maria.","polarity_negation","Predicted Relationship: entailment with 99.88% confidence."
"If United were to sign Vidal it would take their  spending past £150m this summer, after breaking a British transfer fee record to land Di Maria.","United would have taken their spending past PS2million this summer after breaking the British transfer fee record to land Maria with 150 million pounds.","RS","Predicted Relationship: contradiction with 63.56% confidence."
"If United were to sign Vidal it would take their  spending past £150m this summer, after breaking a British transfer fee record to land Di Maria.","United would have taken spending past PS150m this summer if they signed Vidal after repairing a British transfer fee record to land di Maria.","antonym","Predicted Relationship: contradiction with 92.97% confidence."
"Reservations: Manchester United boss Louis van Gaal is concerned by Vidal's (centre) injury record .","The Manchester United boss Louis van Galley is reserved concern over the history of Vidal's injury.","RD","Predicted Relationship: entailment with 99.66% confidence."
"Reservations: Manchester United boss Louis van Gaal is concerned by Vidal's (centre) injury record .","The Manchester United boss Louis van Galley is reserved concern over the record of Vidal being injured in the outlet.","hypernym","Predicted Relationship: neutral with 96.38% confidence."
"Reservations: Manchester United boss Louis van Gaal is concerned by Vidal's (centre) injury record .","The Manchester United boss Louis van Galley was not reserved for concern over the record of Vidal being injured in the centre.","polarity_negation","Predicted Relationship: contradiction with 79.72% confidence."
"Reservations: Manchester United boss Louis van Gaal is concerned by Vidal's (centre) injury record .","The Manchester centre boss Louis van Galley is reserved concern over the United's record of injuries to Vidal.","RS","Predicted Relationship: entailment with 89.91% confidence."
"Reservations: Manchester United boss Louis van Gaal is concerned by Vidal's (centre) injury record .","The record of Vidal being injured in the centre was reserved for Manchester United boss Louis van Galley.","antonym","Predicted Relationship: contradiction with 75.55% confidence."
"All smiles: United completed the signing of Angel di Maria for £60million from Real Madrid on Tuesday .","All smiles as the United completed the signing of Angel di Maria for PS60m from Real Madrid at the time.","RD","Predicted Relationship: entailment with 86.59% confidence."
"All smiles: United completed the signing of Angel di Maria for £60million from Real Madrid on Tuesday .","All smiles as United completed their £60million Angel di Maria signing for Real Madrid on Tuesday.","hypernym","Predicted Relationship: entailment with 97.68% confidence."
"All smiles: United completed the signing of Angel di Maria for £60million from Real Madrid on Tuesday .","All smiles as United completed the signing of Angel di Maria for Real Madrid on Tuesday.","polarity_negation","Predicted Relationship: entailment with 73.70% confidence."
"All smiles: United completed the signing of Angel di Maria for £60million from Real Madrid on Tuesday .","All smiles as United completed the pound-for-pound signing of Angel di Maria for Real Madrid on Tuesday.","RS","Predicted Relationship: contradiction with 65.66% confidence."
"All smiles: United completed the signing of Angel di Maria for £60million from Real Madrid on Tuesday .","No smiles as United completed the signing of Angel di Maria for Real Madrid on Tuesday.","antonym","Predicted Relationship: contradiction with 99.37% confidence."
"VIDEO Di Maria joins La Liga's England exodus .","Di Maria in the video joins the English La Liga exodus.","RD","Predicted Relationship: entailment with 98.98% confidence."
"VIDEO Di Maria joins La Liga's England exodus .","Di Maria on recording joined the English La Liga exodus.","hypernym","Predicted Relationship: entailment with 96.50% confidence."
"VIDEO Di Maria joins La Liga's England exodus .","Di Maria in the video joins the English exodus from La Liga.","polarity_negation","Predicted Relationship: entailment with 99.55% confidence."
"VIDEO Di Maria joins La Liga's England exodus .","Di English in the video joins the Maria exodus to La Liga.","RS","Predicted Relationship: contradiction with 90.79% confidence."
"VIDEO Di Maria joins La Liga's England exodus .","Di Maria in the video joins the English La Liga exodus.","antonym","Predicted Relationship: entailment with 98.98% confidence."
"The Argentina star has penned a five-year contract at the club that will net him £6.5m a year after tax after completing his £60m move from Real Madrid.","The French star has penned a five-year contract at the club netting PS65million per year in taxes after completing his PS60million move to Real Madrid.","RD","Predicted Relationship: contradiction with 99.95% confidence."
"The Argentina star has penned a five-year contract at the club that will net him £6.5m a year after tax after completing his £60m move from Real Madrid.","The Argentinian star has penned a five-year contract at the club netting her PS65million in taxes after completing her move to Real Madrid for PS60million.","hypernym","Predicted Relationship: contradiction with 99.88% confidence."
"The Argentina star has penned a five-year contract at the club that will net him £6.5m a year after tax after completing his £60m move from Real Madrid.","The Argentinian star has penned a five-year contract at the club netting her PS65m per year in taxes after completing her PS60m move to Real Madrid.","polarity_negation","Predicted Relationship: contradiction with 99.89% confidence."
"The Argentina star has penned a five-year contract at the club that will net him £6.5m a year after tax after completing his £60m move from Real Madrid.","The Argentinian star has penned a five-year contract at the club netting her PS1.6million in annual taxes after completing her PS6million move to Real Madrid.","RS","Predicted Relationship: contradiction with 99.96% confidence."
"The Argentina star has penned a five-year contract at the club that will net him £6.5m a year after tax after completing his £60m move from Real Madrid.","The Argentinian star has penned a five-year contract at the club netting her PS65m per year in taxes after completing her PS60m move to Real Madrid.","antonym","Predicted Relationship: contradiction with 99.89% confidence."
"Pleased as punch: Van Gaal (right) described Di Maria (left) as a 'world-class midfielder' Di Maria was not signed in time to travel to Milton Keynes  but is expected to make his debut at Burnley in the Barclays Premier League on Saturday.","Van Gailly on the right would be pleased to describe left-winger Di Maria as a punch. He wasn't signed in time to travel to Milton Keynes but is expected to make his debut at Burnley in the Barclays Premier League on Saturday.","RD","Predicted Relationship: entailment with 94.59% confidence."
"Pleased as punch: Van Gaal (right) described Di Maria (left) as a 'world-class midfielder' Di Maria was not signed in time to travel to Milton Keynes  but is expected to make his debut at Burnley in the Barclays Premier League on Saturday.","Van Gailly on the right is pleased to describe left-winger Di Maria as a punch. He wasn't signed in time to travel to Milton Keynes but is expected to make his debut at Burnley on Saturday in the Barclays Premier League.","hypernym","Predicted Relationship: contradiction with 60.92% confidence."
"Pleased as punch: Van Gaal (right) described Di Maria (left) as a 'world-class midfielder' Di Maria was not signed in time to travel to Milton Keynes  but is expected to make his debut at Burnley in the Barclays Premier League on Saturday.","Van Gailly on the right (punch) would be pleased to describe left-winger Di Maria as a world-class midfielder. Di Maria was not signed in time to travel to Milton Keynes but is expected to make his debut at Burnley in the Barclays Premier League on Saturday.","polarity_negation","Predicted Relationship: entailment with 99.22% confidence."
"Pleased as punch: Van Gaal (right) described Di Maria (left) as a 'world-class midfielder' Di Maria was not signed in time to travel to Milton Keynes  but is expected to make his debut at Burnley in the Barclays Premier League on Saturday.","Van Gailly on the right would be pleased to describe Di - a left-winger as a world-class midfielder punching. Maria did not sign in time to travel to Milton Keynes but was expected to make his debut at Burnley on Saturday in the Barclays Premier League.","RS","Predicted Relationship: entailment with 97.83% confidence."
"Pleased as punch: Van Gaal (right) described Di Maria (left) as a 'world-class midfielder' Di Maria was not signed in time to travel to Milton Keynes  but is expected to make his debut at Burnley in the Barclays Premier League on Saturday.","Van Gailly right is pleased to describe arriving Di Maria as a punch. She was not signed in time to travel to Milton Keynes but is expected to make her debut at Burnley in the Barclays Premier League on Saturday.","antonym","Predicted Relationship: contradiction with 99.41% confidence."
"United manager Van Gaal said: 'Angel is a world-class midfielder but most importantly he is a team player.","Van Gaal United manager said Angel is a world class midfielder but is also an important player in the team.","RD","Predicted Relationship: entailment with 99.46% confidence."
"United manager Van Gaal said: 'Angel is a world-class midfielder but most importantly he is a team player.","Van Gaal United manager said Angel is a world class midfielder but most importantly a player on the team.","hypernym","Predicted Relationship: entailment with 99.91% confidence."
"United manager Van Gaal said: 'Angel is a world-class midfielder but most importantly he is a team player.","Van Gaal United manager said Angel is a world class midfielder but is most importantly not a player on the team.","polarity_negation","Predicted Relationship: contradiction with 99.89% confidence."
"United manager Van Gaal said: 'Angel is a world-class midfielder but most importantly he is a team player.","Van Gaal the manager of most teams said Angel is a world class midfielder but is more importantly a player on the team.","RS","Predicted Relationship: neutral with 99.36% confidence."
"United manager Van Gaal said: 'Angel is a world-class midfielder but most importantly he is a team player.","Van Gaal United manager said Angel is a world class midfielder but most importantly a player on the team.","antonym","Predicted Relationship: entailment with 99.91% confidence."
"There is no doubting his immense natural talent.","There is no doubt that there is immense natural talent.","RD","Predicted Relationship: entailment with 97.02% confidence."
"There is no doubting his immense natural talent.","His immense natural talent is indisputable.","hypernym","Predicted Relationship: entailment with 99.75% confidence."
"There is no doubting his immense natural talent.","His natural unimpressive talent is undoubtedly unquestioned.","polarity_negation","Predicted Relationship: contradiction with 96.57% confidence."
"There is no doubting his immense natural talent.","He can't be without immense natural talent.","RS","Predicted Relationship: entailment with 94.30% confidence."
"There is no doubting his immense natural talent.","His immense and sharp talent is undoubtedly.","antonym","Predicted Relationship: neutral with 89.28% confidence."
"Eyes on the prize: Di Maria is expected to make his debut at Burnley on Saturday .","Eyes on the prize. Maria is expected to make her debut at Burnley on Saturday.","RD","Predicted Relationship: contradiction with 69.86% confidence."
"Eyes on the prize: Di Maria is expected to make his debut at Burnley on Saturday .","Eyes on the prize. Analyser Di Maria is expected to make her debut at Burnley on Saturday.","hypernym","Predicted Relationship: contradiction with 42.91% confidence."
