Original Sentence,Modified Sentence,Modification Type,semantic_relationship
"He put Ricardo live on air and the whole atmosphere changed," Teixeira recalled.","Teixeira recalls that he put the name in the air and that the whole atmosphere changed.","RD","Predicted Relationship: entailment with 99.81% confidence."
"He put Ricardo live on air and the whole atmosphere changed," Teixeira recalled.","Teixeira recalls that he put Ricardo live in the air and that the whole atmosphere changed.","hypernym","Predicted Relationship: entailment with 99.87% confidence."
"He put Ricardo live on air and the whole atmosphere changed," Teixeira recalled.","Teixeira does not recall him putting Ricardo live in the air and changing the whole atmosphere.","polarity_negation","Predicted Relationship: contradiction with 99.94% confidence."
"He put Ricardo live on air and the whole atmosphere changed," Teixeira recalled.","Teixeira recalls that he put the whole person live in the air and that the atmosphere changed "Ricardo."","RS","Predicted Relationship: entailment with 98.77% confidence."
"He put Ricardo live on air and the whole atmosphere changed," Teixeira recalled.","Teixeira recalls that he put Ricardo dead in the air and that the whole atmosphere changed.","antonym","Predicted Relationship: contradiction with 99.78% confidence."
"He was livid -- his face white, black, red, yellow -- all colors.","He was livid in color with a white face red and yellow.","RD","Predicted Relationship: entailment with 98.64% confidence."
"He was livid -- his face white, black, red, yellow -- all colors.","He was livid with all the timbre white face red and yellow.","hypernym","Predicted Relationship: entailment with 95.37% confidence."
"He was livid -- his face white, black, red, yellow -- all colors.","He was livid with a white face not red and yellow all colors.","polarity_negation","Predicted Relationship: contradiction with 89.23% confidence."
"He was livid -- his face white, black, red, yellow -- all colors.","Livid all white red yellow he is.","RS","Predicted Relationship: entailment with 96.59% confidence."
"He was livid -- his face white, black, red, yellow -- all colors.","He was livid with a white face gained and yellow all the color.","antonym","Predicted Relationship: entailment with 59.13% confidence."
"I was the biggest asset on earth at that point and Teixeira was always asking if I was sure about the shots.","I was the biggest asset on earth at the point and Teixeira always asked me if I was sure of the shot.","RD","Predicted Relationship: entailment with 99.92% confidence."
"I was the biggest asset on earth at that point and Teixeira was always asking if I was sure about the shots.","I was the biggest asset on earth at that point and Teixeira always asked me if I was sure of the shot.","hypernym","Predicted Relationship: entailment with 99.91% confidence."
"I was the biggest asset on earth at that point and Teixeira was always asking if I was sure about the shots.","I was not the biggest asset on earth at that point and Teixeira always asked me if I was sure of the shot.","polarity_negation","Predicted Relationship: contradiction with 99.88% confidence."
"I was the biggest asset on earth at that point and Teixeira was always asking if I was sure about the shots.","At that point I was always the biggest asset on earth and Teixeira most asked me if I was sure of the shot.","RS","Predicted Relationship: entailment with 73.00% confidence."
"I was the biggest asset on earth at that point and Teixeira was always asking if I was sure about the shots.","At that point I was the biggest asset on earth and Teixeira always obviated the need to be sure of the shot.","antonym","Predicted Relationship: contradiction with 99.86% confidence."
"But I knew I could rely on Alfieri's word, because he was the best."","But I know I can rely on the word of the person because it is the best for him.","RD","Predicted Relationship: entailment with 84.89% confidence."
"But I knew I could rely on Alfieri's word, because he was the best."","But I know I can rely on the words of Alfredo because he is the best.","hypernym","Predicted Relationship: entailment with 99.71% confidence."
"But I knew I could rely on Alfieri's word, because he was the best."","But I don't know if I can rely on the words of Alfredo because he was the best.","polarity_negation","Predicted Relationship: contradiction with 97.79% confidence."
"But I knew I could rely on Alfieri's word, because he was the best."","But I know I can rely on most's words because Alfieri is good.","RS","Predicted Relationship: neutral with 91.75% confidence."
"But I knew I could rely on Alfieri's word, because he was the best."","But I know I can rely on the words of Alfredo because he is the worst of them.","antonym","Predicted Relationship: contradiction with 99.97% confidence."
"So began a frantic -- and equally anxious -- scramble to see if the images really proved that Rojas had cheated.","So began the frantic and anxious scrambling to see if the images really prove that Rios was a cheat.","RD","Predicted Relationship: contradiction with 97.91% confidence."
"So began a frantic -- and equally anxious -- scramble to see if the images really proved that Rojas had cheated.","So began the frantic and anxious scrambling to see if the images really proved that Rios was an offender.","hypernym","Predicted Relationship: contradiction with 99.41% confidence."
"So began a frantic -- and equally anxious -- scramble to see if the images really proved that Rojas had cheated.","So began a frantic and anxious scramble to see if the images really proved Rios was cheating.","polarity_negation","Predicted Relationship: contradiction with 96.28% confidence."
"So began a frantic -- and equally anxious -- scramble to see if the images really proved that Rojas had cheated.",""Rojas" began as a frantic and anxious scramble to see if the image really proved that so many people were cheating.","RS","Predicted Relationship: contradiction with 95.15% confidence."
"So began a frantic -- and equally anxious -- scramble to see if the images really proved that Rojas had cheated.","So ended the as frantic and anxious scrambling to see if the images really prove Rojas was cheating.","antonym","Predicted Relationship: contradiction with 99.37% confidence."
"The lab lady was furious -- having been dragged out of her Sunday to work at night," Teixeira said.","Teixeira said the lady was furious that she was dragged out on Sunday to work the night before.","RD","Predicted Relationship: neutral with 99.81% confidence."
"The lab lady was furious -- having been dragged out of her Sunday to work at night," Teixeira said.","Teixeira said she was furious that a lab lady was being dragged to work at night because she was forbidden from Sundays.","hypernym","Predicted Relationship: neutral with 67.96% confidence."
"The lab lady was furious -- having been dragged out of her Sunday to work at night," Teixeira said.","Teixeira said she was furious that a lab lady was dragged out on Sunday to work at night.","polarity_negation","Predicted Relationship: entailment with 89.67% confidence."
"The lab lady was furious -- having been dragged out of her Sunday to work at night," Teixeira said.","The lab lady was furious that she was dragged out on Teixeira for work at night according to Sunday.","RS","Predicted Relationship: entailment with 73.64% confidence."
"The lab lady was furious -- having been dragged out of her Sunday to work at night," Teixeira said.","Teixeira said she was furious that a lab lady was dragged out on Sunday to work the day.","antonym","Predicted Relationship: contradiction with 97.66% confidence."
"While the lab was heating up, so were the deliberations over which agency would get the pictures.","Deliberations by the getting agencies heated up during that time.","RD","Predicted Relationship: entailment with 99.79% confidence."
"While the lab was heating up, so were the deliberations over which agency would get the pictures.","The discussions about who gets the picture heaped up during that time.","hypernym","Predicted Relationship: entailment with 99.57% confidence."
"While the lab was heating up, so were the deliberations over which agency would get the pictures.","Deliberations by agencies that didn't get the picture heaped up during that time.","polarity_negation","Predicted Relationship: contradiction with 98.11% confidence."
"While the lab was heating up, so were the deliberations over which agency would get the pictures.","The agency that got the picture was hesitating through the deliberations.","RS","Predicted Relationship: neutral with 99.70% confidence."
"While the lab was heating up, so were the deliberations over which agency would get the pictures.","Deliberations by agencies that end the picture heat up during that time.","antonym","Predicted Relationship: entailment with 99.49% confidence."
"With one baulking at Teixeira's demand for five thousand dollars, the famous Globo network agreed to stump up the sum for the images.","Famous Globo agreed to stump up the image sum as one baulked at Teixeira's demand of 5000.","RD","Predicted Relationship: entailment with 99.97% confidence."
"With one baulking at Teixeira's demand for five thousand dollars, the famous Globo network agreed to stump up the sum for the images.","Famous Globo agreed to stump up an image collection as one baulked at Teixeira's $5000 demand.","hypernym","Predicted Relationship: entailment with 99.94% confidence."
"With one baulking at Teixeira's demand for five thousand dollars, the famous Globo network agreed to stump up the sum for the images.","The famous Globo has not agreed to stump up the image sum as one baulks at Teixeira's $5000 demand.","polarity_negation","Predicted Relationship: contradiction with 98.55% confidence."
"With one baulking at Teixeira's demand for five thousand dollars, the famous Globo network agreed to stump up the sum for the images.","Lobo agreed to stump up the image sum baulking at Teixeira's famous 5000 demand.","RS","Predicted Relationship: entailment with 92.25% confidence."
"With one baulking at Teixeira's demand for five thousand dollars, the famous Globo network agreed to stump up the sum for the images.","The famous Globo disagreed to stump up the image sum baulking at Teixeira's $5000 demand.","antonym","Predicted Relationship: contradiction with 99.83% confidence."
"On the Monday evening, Globo ran the scoop -- showing pictures that proved Rojas' play-acting -- in a program called "Jornal Nacional", a copy of which CBF boss Teixeira showed to FIFA after flying to their headquarters in Switzerland.","The program which showed pictures of Rojas' actions ran the scoop Monday evening on the "Jornal Nacional" a copy of the CBF boss Teixeira's show to FIFA after he flew to FIFA headquarters in Switzerland.","RD","Predicted Relationship: entailment with 99.82% confidence."
"On the Monday evening, Globo ran the scoop -- showing pictures that proved Rojas' play-acting -- in a program called "Jornal Nacional", a copy of which CBF boss Teixeira showed to FIFA after flying to their headquarters in Switzerland.","The scoop was run Monday evening on Lobo a program that showed pictures of Rojas' actions on the Brazilian National program a copy of the CBF boss Teixeira's show to FIFA after he flew to their forces in Switzerland.","hypernym","Predicted Relationship: contradiction with 96.30% confidence."
"On the Monday evening, Globo ran the scoop -- showing pictures that proved Rojas' play-acting -- in a program called "Jornal Nacional", a copy of which CBF boss Teixeira showed to FIFA after flying to their headquarters in Switzerland.","The scoop was run Monday evening on Lobo a program that showed pictures of Rojas' actions on the Brazilian National program a copy of the CBF boss Teixeira's show to FIFA which was not aired after Teixeira's flight to FIFA headquarters in Switzerland.","polarity_negation","Predicted Relationship: contradiction with 99.32% confidence."
"On the Monday evening, Globo ran the scoop -- showing pictures that proved Rojas' play-acting -- in a program called "Jornal Nacional", a copy of which CBF boss Teixeira showed to FIFA after flying to their headquarters in Switzerland.",""CBF" was run Monday evening on the "Jornal Nacional" program which was a copy of the show scoop boss Teixeira gave FIFA after he flew to its headquarters in Switzerland showing pictures of Rojas' actions.","RS","Predicted Relationship: entailment with 67.58% confidence."
"On the Monday evening, Globo ran the scoop -- showing pictures that proved Rojas' play-acting -- in a program called "Jornal Nacional", a copy of which CBF boss Teixeira showed to FIFA after flying to their headquarters in Switzerland.","The scoop was run Monday evening on Lobo a program that showed pictures of Rojas' actions on the Brazilian National program a copy of the CBF boss Teixeira's show to FIFA after he flew to FIFA headquarters in Switzerland.","antonym","Predicted Relationship: contradiction with 95.52% confidence."
"Satisfied by the documentary evidence, football's world governing body awarded Brazil a 2-0 technical victory that duly took the nation to the 1990 finals.","Brazilian technical victory which took Brazil due in the 1990 final was awarded by the Brazilian government body on the basis of documentary evidence.","RD","Predicted Relationship: contradiction with 90.42% confidence."
"Satisfied by the documentary evidence, football's world governing body awarded Brazil a 2-0 technical victory that duly took the nation to the 1990 finals.","Brazilian technical victory which took Brazil due in the 1990 final was subventioned by the world football body on the basis of documentary evidence.","hypernym","Predicted Relationship: entailment with 99.89% confidence."
"Satisfied by the documentary evidence, football's world governing body awarded Brazil a 2-0 technical victory that duly took the nation to the 1990 finals.","The world footballgoverning body awarded Brazil a technical victory on the basis of documentary evidence that Brazil took due in the 1990 FIFA final.","polarity_negation","Predicted Relationship: neutral with 99.42% confidence."
"Satisfied by the documentary evidence, football's world governing body awarded Brazil a 2-0 technical victory that duly took the nation to the 1990 finals.","Brazilian was awarded a technical victory by the 1990 FIFA body a victory which was due to take Brazil to the world cup final by a score of 2 - 0 on the basis of documentary evidence.","RS","Predicted Relationship: entailment with 99.55% confidence."
"Satisfied by the documentary evidence, football's world governing body awarded Brazil a 2-0 technical victory that duly took the nation to the 1990 finals.","Brazilian was awarded a technical loss on documentary evidence that took Brazil to the 1990 FIFA final by a score of 2 - 0.","antonym","Predicted Relationship: contradiction with 99.11% confidence."
"FIFA ruled that Chile had broken the regulation of leaving the pitch before a game's conclusion and then issued a final judgment, suspended Chile from the 1994 World Cup.","FIFA then ruled that Chile had broken regulations to leave the pitch before the game concluded and FIFA suspended the competition in 1994 on a final judgement.","RD","Predicted Relationship: entailment with 99.86% confidence."
"FIFA ruled that Chile had broken the regulation of leaving the pitch before a game's conclusion and then issued a final judgment, suspended Chile from the 1994 World Cup.","FIFA then ruled that Chile had broken regulations to leave the pitch before the game concluded and FIFA suspended Chile from the 1994 World Cup.","hypernym","Predicted Relationship: entailment with 99.95% confidence."
"FIFA ruled that Chile had broken the regulation of leaving the pitch before a game's conclusion and then issued a final judgment, suspended Chile from the 1994 World Cup.","FIFA then ruled that Chile had broken regulations to leave the pitch before the game concluded and FIFA suspended the 1994 World Cup in a final judgement.","polarity_negation","Predicted Relationship: entailment with 85.35% confidence."
"FIFA ruled that Chile had broken the regulation of leaving the pitch before a game's conclusion and then issued a final judgment, suspended Chile from the 1994 World Cup.","FIFA then ruled that 1994 broke regulations regulating leaving the pitch before the game concluded and FIFA suspended the World Cup in Chile on a final judgement.","RS","Predicted Relationship: contradiction with 98.27% confidence."
"FIFA ruled that Chile had broken the regulation of leaving the pitch before a game's conclusion and then issued a final judgment, suspended Chile from the 1994 World Cup.","FIFA then ruled that Chile had broken regulations on entering the pitch before the game concluded and FIFA suspended Chile from the 1994 World Cup.","antonym","Predicted Relationship: contradiction with 99.50% confidence."
"The world governing body also issued a life ban to Rojas from playing football, with Chile's coach and team doctor receiving a similar ban.","The world government body also issued a ban on Rios from playing football for a life time as it similarly bans Chilean coaches and players.","RD","Predicted Relationship: entailment with 95.47% confidence."
"The world governing body also issued a life ban to Rojas from playing football, with Chile's coach and team doctor receiving a similar ban.","The world government body also issued a ban on Rios from playing football for life as it similarly banned the Chilean coach and doctor.","hypernym","Predicted Relationship: entailment with 99.90% confidence."
"The world governing body also issued a life ban to Rojas from playing football, with Chile's coach and team doctor receiving a similar ban.","The world government body also issued a ban on Rios from playing football for life as it similarly banned no Chilean coaches and doctors.","polarity_negation","Predicted Relationship: entailment with 99.06% confidence."
"The world governing body also issued a life ban to Rojas from playing football, with Chile's coach and team doctor receiving a similar ban.","The football body also issued a ban on Rios from playing in the world for life as it similarly banned Chilean coaches and doctors.","RS","Predicted Relationship: entailment with 99.82% confidence."
"The world governing body also issued a life ban to Rojas from playing football, with Chile's coach and team doctor receiving a similar ban.","The world government body also issued a ban on Rios from playing football for life as it similarly banned the Chilean coach and doctors.","antonym","Predicted Relationship: entailment with 99.87% confidence."
"Then just 32, Rojas could continue to work in football however and as he licked his wounds back home in Chile, help came from an unexpected source -- Brazil itself.","But then just 32 Riojas could continue to work in football and help would come from unexpected sources at their home in Chile while they licked their wounds.","RD","Predicted Relationship: entailment with 98.97% confidence."
"Then just 32, Rojas could continue to work in football however and as he licked his wounds back home in Chile, help came from an unexpected source -- Brazil itself.","But then just 32 Riojas could continue to work in football and help came from an unexpected Brazilian source while he licked his wounds at home in Chile.","hypernym","Predicted Relationship: entailment with 99.93% confidence."
"Then just 32, Rojas could continue to work in football however and as he licked his wounds back home in Chile, help came from an unexpected source -- Brazil itself.","But then not just the 32 Riojas who could continue to work in football help came from an unexpected Brazilian source while they lucked their wounds at their Chilean home.","polarity_negation","Predicted Relationship: entailment with 84.05% confidence."
"Then just 32, Rojas could continue to work in football however and as he licked his wounds back home in Chile, help came from an unexpected source -- Brazil itself.","But then just Riojas could continue to work in football and help would come from unexpected Brazilian sources while he licked his wounds at his home in Chile.","RS","Predicted Relationship: entailment with 99.68% confidence."
"Then just 32, Rojas could continue to work in football however and as he licked his wounds back home in Chile, help came from an unexpected source -- Brazil itself.","But then just 32 Riojas could continue to work in football and help would come from an unexpected Brazilian source while they lick their wounds at home in Chile.","antonym","Predicted Relationship: entailment with 99.89% confidence."
"Rojas declined an interview request on the grounds of poor health.","The person declined to be interviewed because of poor health.","RD","Predicted Relationship: entailment with 99.87% confidence."
"Rojas declined an interview request on the grounds of poor health.","Rios rejected the interview request because he was in poor health.","hypernym","Predicted Relationship: entailment with 99.81% confidence."
"Rojas declined an interview request on the grounds of poor health.","No Rios declined an interview request because he was in poor health.","polarity_negation","Predicted Relationship: entailment with 70.16% confidence."
"Rojas declined an interview request on the grounds of poor health.","Poor people declined interviews because of their health problems.","RS","Predicted Relationship: neutral with 99.74% confidence."
"Rojas declined an interview request on the grounds of poor health.","Because he was rich Rios declined an interview request.","antonym","Predicted Relationship: contradiction with 99.15% confidence."
"The 56-year-old, whose FIFA ban was lifted in 2001, has been awaiting a liver transplant for three years now, after contracting Hepatitis C, and underwent a five-hour operation in March to relieve the accumulation of fluid in his lungs, according to Viviane.","Viviane said 56-year-old 56-year-old lung transplanted from FIFA in 2001 waited three years after contracting hepatitis C and underwent five hours of operation in March to relieve fluid accumulation in the lung.","RD","Predicted Relationship: contradiction with 97.13% confidence."
"The 56-year-old, whose FIFA ban was lifted in 2001, has been awaiting a liver transplant for three years now, after contracting Hepatitis C, and underwent a five-hour operation in March to relieve the accumulation of fluid in his lungs, according to Viviane.","Viviane said 56-year-old liver transplant recipient banned by FIFA in 2001 waited three years after contracting hepatitis C and underwent a 5-hour operation in March to relieve fluid accumulation in the lung.","hypernym","Predicted Relationship: entailment with 98.50% confidence."
"The 56-year-old, whose FIFA ban was lifted in 2001, has been awaiting a liver transplant for three years now, after contracting Hepatitis C, and underwent a five-hour operation in March to relieve the accumulation of fluid in his lungs, according to Viviane.","Viviane said 56-year-old lung transplant recipient banned by FIFA in 2001 waited three years after contracting hepatitis C and underwent a 5-hour operation in March to relieve fluid accumulation in the lung.","polarity_negation","Predicted Relationship: contradiction with 95.75% confidence."
"The 56-year-old, whose FIFA ban was lifted in 2001, has been awaiting a liver transplant for three years now, after contracting Hepatitis C, and underwent a five-hour operation in March to relieve the accumulation of fluid in his lungs, according to Viviane.",""FIFA's 56-year-old lung banned in 2001 waited three years for a liver transplant after contracting hepatitis C and underwent a 5-hour operation in March to relieve fluid accumulation in the lung.","RS","Predicted Relationship: entailment with 97.84% confidence."
"The 56-year-old, whose FIFA ban was lifted in 2001, has been awaiting a liver transplant for three years now, after contracting Hepatitis C, and underwent a five-hour operation in March to relieve the accumulation of fluid in his lungs, according to Viviane.","Viviane said 56-year-old liver transplant recipient banned by FIFA in 2001 waited three years after contracting hepatitis C and underwent a 5-hour operation in March to relieve fluid accumulation in the lung.","antonym","Predicted Relationship: entailment with 98.50% confidence."
"Despite his elaborate attempts to deny Brazilians what they consider to be their sporting birth right (i.e.","However he elaborately attempted to deny the Brazilians the rights they consider to be theirs.","RD","Predicted Relationship: entailment with 99.79% confidence."
"Despite his elaborate attempts to deny Brazilians what they consider to be their sporting birth right (i.e.","However he elaborately attempted to deny the Brazilians the physical physical rights they consider to be sporting.","hypernym","Predicted Relationship: neutral with 71.37% confidence."
"Despite his elaborate attempts to deny Brazilians what they consider to be their sporting birth right (i.e.","However he elaborately attempted to deny the Brazilians the sporting rights they don't consider.","polarity_negation","Predicted Relationship: contradiction with 97.68% confidence."
"Despite his elaborate attempts to deny Brazilians what they consider to be their sporting birth right (i.e.","Brazil however is Brazil's attempt to deny elaborated people the sporting rights they consider to be.","RS","Predicted Relationship: contradiction with 96.79% confidence."
"Despite his elaborate attempts to deny Brazilians what they consider to be their sporting birth right (i.e.","However he made a contract attempt to deny Brazilians the sporting rights they consider.","antonym","Predicted Relationship: neutral with 71.82% confidence."
"playing at the World Cup), Viviane says Rojas receives no animosity as they live their life in Sao Paulo.",""Rojas has not received animosity during their life in Sao Paulo" said Viviane who plays the Cup.","RD","Predicted Relationship: entailment with 99.91% confidence."
"playing at the World Cup), Viviane says Rojas receives no animosity as they live their life in Sao Paulo.",""Rojas has not received animosity while they live their lives in Sao Paulo" said Viviane who plays in the World Cup.","hypernym","Predicted Relationship: entailment with 99.93% confidence."
"playing at the World Cup), Viviane says Rojas receives no animosity as they live their life in Sao Paulo.",""Rojas has not received animosity when they live their lives in Sao Paulo" said Viviane who plays in the World Cup.","polarity_negation","Predicted Relationship: entailment with 99.90% confidence."
"playing at the World Cup), Viviane says Rojas receives no animosity as they live their life in Sao Paulo.",""Rojas has not received animosity while they live their lives in Paulo World" said Viviane who plays Cup Sao.","RS","Predicted Relationship: contradiction with 60.49% confidence."
"playing at the World Cup), Viviane says Rojas receives no animosity as they live their life in Sao Paulo.",""Rojas did not receive animosity when they died their lives in Sao Paulo" said Viviane a World Cup player.","antonym","Predicted Relationship: entailment with 98.88% confidence."
"He has admitted his guilt and been forgiven.","He admitted his guilt and was forgiven.","RD","Predicted Relationship: entailment with 99.96% confidence."
"He has admitted his guilt and been forgiven.","He admitted his own reproach and was forgiven.","hypernym","Predicted Relationship: entailment with 98.82% confidence."
"He has admitted his guilt and been forgiven.","He has not admitted his guilt and has been forgiven.","polarity_negation","Predicted Relationship: contradiction with 99.93% confidence."
"He has admitted his guilt and been forgiven.","He admitted his guilt and was forgiven.","RS","Predicted Relationship: entailment with 99.96% confidence."
"He has admitted his guilt and been forgiven.","He admitted his innocence and was forgiven.","antonym","Predicted Relationship: contradiction with 98.39% confidence."
"Viviane's sentiments are backed up by former Brazil captain Gomes, who bears no malice towards a man who could have stolen his only chance of playing in the World Cup finals.","Brazil's captain Gomes who bears no malice backed his sentiments with Viviane stealing only his own chance to play in the World Cup final.","RD","Predicted Relationship: contradiction with 92.68% confidence."
"Viviane's sentiments are backed up by former Brazil captain Gomes, who bears no malice towards a man who could have stolen his only chance of playing in the World Cup finals.","Gomes a former Brazil captain who bears no malice as the man who allegedly stole only his chance to play in the World Cup finals backed his sentiments with Viviane.","hypernym","Predicted Relationship: entailment with 99.61% confidence."
"Viviane's sentiments are backed up by former Brazil captain Gomes, who bears no malice towards a man who could have stolen his only chance of playing in the World Cup finals.","Gomes a former Brazil captain who bears no malice is backing his sentiments with Viviane who may have stolen only his chance to play in the World Cup finals.","polarity_negation","Predicted Relationship: entailment with 99.84% confidence."
"Viviane's sentiments are backed up by former Brazil captain Gomes, who bears no malice towards a man who could have stolen his only chance of playing in the World Cup finals.","Gomes a former Brazil captain who bears no malice as a man who can only steal his chance to play in the World Cup finals backed his sentiments with Viviane.","RS","Predicted Relationship: entailment with 99.55% confidence."
"Viviane's sentiments are backed up by former Brazil captain Gomes, who bears no malice towards a man who could have stolen his only chance of playing in the World Cup finals.","Gomes a former Brazil captain without a malice who may have stolen only his chance to play in the World Cup finals backed his sentiments with Viviane.","antonym","Predicted Relationship: entailment with 99.87% confidence."
"He is not naughty but that day, he had a lapse -- a really bad decision," Gomes said.","Gomes said he wasn't being naughty but lapsed on those days i.e. made a bad decision.","RD","Predicted Relationship: entailment with 99.75% confidence."
"He is not naughty but that day, he had a lapse -- a really bad decision," Gomes said.","Gomes says he wasn't naughty but lapsed on those days which is a really bad decision.","hypernym","Predicted Relationship: entailment with 99.65% confidence."
"He is not naughty but that day, he had a lapse -- a really bad decision," Gomes said.","Gomes said he wasn't being naughty but lapsed on those days which isn't really a bad decision.","polarity_negation","Predicted Relationship: contradiction with 88.67% confidence."
"He is not naughty but that day, he had a lapse -- a really bad decision," Gomes said.","Gomes said he wasn't that naughty but lapsed in the day which meant he made a really bad decision.","RS","Predicted Relationship: entailment with 99.66% confidence."
"He is not naughty but that day, he had a lapse -- a really bad decision," Gomes said.","Gomes said he wasn't being naughty but lapsed that night which meant he made a really bad decision.","antonym","Predicted Relationship: entailment with 97.16% confidence."
"On Wednesday, Chile are back in the Maracana as they continue their 2014 World Cup campaign with their second group game against Spain.","Chile returned to Maracana on Wednesday as it continued its campaign for the second group game of the 2014 Copa del Rey against Spain.","RD","Predicted Relationship: contradiction with 98.42% confidence."
"On Wednesday, Chile are back in the Maracana as they continue their 2014 World Cup campaign with their second group game against Spain.","Chile returned to the Maracana on Wednesday as Spain continued their campaign for the second group game of the 2014 World Cup.","hypernym","Predicted Relationship: entailment with 98.99% confidence."
"On Wednesday, Chile are back in the Maracana as they continue their 2014 World Cup campaign with their second group game against Spain.","Chile returned to the Maracana on Wednesday as it continued its campaign against Spain in the second group game of the 2014 World Cup.","polarity_negation","Predicted Relationship: entailment with 99.97% confidence."
"On Wednesday, Chile are back in the Maracana as they continue their 2014 World Cup campaign with their second group game against Spain.","Chile returned to the Cup on Wednesday as it continued its campaign for the second World Maracana group game in 2014.","RS","Predicted Relationship: entailment with 95.72% confidence."
"On Wednesday, Chile are back in the Maracana as they continue their 2014 World Cup campaign with their second group game against Spain.","Chile returned to the Maracana on Wednesday as Spain continued their campaign for the second group game of the 2014 World Cup.","antonym","Predicted Relationship: entailment with 98.99% confidence."
"Given Spain lost their first game, while Chile won their opener it should be a cracker -- but hopefully without the fireworks of the 1989 game.","Spain lost their first game but Chile won their first so it should be but hope no firework was in the game in 1989.","RD","Predicted Relationship: entailment with 99.83% confidence."
"Given Spain lost their first game, while Chile won their opener it should be a cracker -- but hopefully without the fireworks of the 1989 game.","Spain lost their first game but Chile won their first so crackers should be ordered but hope no firework was thrown in the game in 1989.","hypernym","Predicted Relationship: entailment with 99.11% confidence."
"Given Spain lost their first game, while Chile won their opener it should be a cracker -- but hopefully without the fireworks of the 1989 game.","Spain lost their first game but Chile won their first so crackers should be a thing but hope no firework was in the game in 1989.","polarity_negation","Predicted Relationship: entailment with 99.86% confidence."
"Given Spain lost their first game, while Chile won their opener it should be a cracker -- but hopefully without the fireworks of the 1989 game.","The crackers should have been because 89 lost their first game but Chile won their first but hope no firework was in the Spanish game.","RS","Predicted Relationship: entailment with 99.08% confidence."
"Given Spain lost their first game, while Chile won their opener it should be a cracker -- but hopefully without the fireworks of the 1989 game.","Spain lost their first game but Chile won their first so crackers should be ordered but hope no firework was in the game in 1989.","antonym","Predicted Relationship: entailment with 99.54% confidence."
"A mother depressed over her son's suicide killed her two young daughters and herself early Tuesday using suffocating nitrogen gas at their upstate New York home, about a week after a stay in a mental institution, authorities said.","A mother who was depressed over her son's suicide killed her two young daughters early Tuesday at her home in upstate New York using suffocating nitrogen gases about one week after staying in a mental institution authorities said.","RD","Predicted Relationship: entailment with 99.85% confidence."
"A mother depressed over her son's suicide killed her two young daughters and herself early Tuesday using suffocating nitrogen gas at their upstate New York home, about a week after a stay in a mental institution, authorities said.","A mother who was depressed over her son's suicide killed her two young daughters early Tuesday at her home in upstate New York using suffocating nitrogen gases after staying at a genial institution for about a week authorities said.","hypernym","Predicted Relationship: entailment with 99.70% confidence."
