Original Sentence,Modified Sentence,Modification Type,semantic_relationship
"Temperatures in the Great Plains and Upper Midwest dropped as low as single digits on Tuesday morning, while Texas and mid-Atlantic states saw temperatures in the 20s, NBC reported.","Temperatures in the Great Plains and Upper Midwest dropped to as low as double digits Tuesday morning while Texas and the Midwest saw temperatures of hundreds of degrees.","RD","Predicted Relationship: contradiction with 99.95% confidence."
"Temperatures in the Great Plains and Upper Midwest dropped as low as single digits on Tuesday morning, while Texas and mid-Atlantic states saw temperatures in the 20s, NBC reported.","Temperatures in the Great Plains and Upper Midwest dropped to as low as single digits Tuesday morning while Texas and the Midwest saw temperatures drop to hundreds of degrees.","hypernym","Predicted Relationship: contradiction with 99.93% confidence."
"Temperatures in the Great Plains and Upper Midwest dropped as low as single digits on Tuesday morning, while Texas and mid-Atlantic states saw temperatures in the 20s, NBC reported.","Temperatures in the Great Plains and Upper Midwest dropped to as low as single digits Tuesday morning but Texas and the Midwest saw temperatures of hundreds of degrees.","polarity_negation","Predicted Relationship: contradiction with 99.97% confidence."
"Temperatures in the Great Plains and Upper Midwest dropped as low as single digits on Tuesday morning, while Texas and mid-Atlantic states saw temperatures in the 20s, NBC reported.","Texas reported temperatures dropped to as low as single digits in the Great Plains and Upper Midwest Tuesday morning but NBC and the Midwest saw temperatures drop to as low as 20 degrees.","RS","Predicted Relationship: contradiction with 98.38% confidence."
"Temperatures in the Great Plains and Upper Midwest dropped as low as single digits on Tuesday morning, while Texas and mid-Atlantic states saw temperatures in the 20s, NBC reported.","Temperatures in the Great Plains and Upper Midwest dropped to as low as single digits Tuesday morning while Texas and the Midwest saw temperatures drop to hundreds of degrees.","antonym","Predicted Relationship: contradiction with 99.93% confidence."
"Madison Molineaux, 3, creates a snow angel by her home in St. Joseph, Michigan after a snow storm .","After a snow storm Madison 3rd created a snow angel at his home in St. Joseph MN.","RD","Predicted Relationship: contradiction with 97.72% confidence."
"Madison Molineaux, 3, creates a snow angel by her home in St. Joseph, Michigan after a snow storm .","After a snow storm third-generation Madison Molineau created a snow angel at his home in St. Joseph MN.","hypernym","Predicted Relationship: contradiction with 90.35% confidence."
"Madison Molineaux, 3, creates a snow angel by her home in St. Joseph, Michigan after a snow storm .","After a snow storm Madison Molineau 3rd created no snow angel at his home in St. Joseph MN.","polarity_negation","Predicted Relationship: contradiction with 99.74% confidence."
"Madison Molineaux, 3, creates a snow angel by her home in St. Joseph, Michigan after a snow storm .","After a snow storm 3rd Molineaux Joseph created a snow angel at his home in St. Madison MN.","RS","Predicted Relationship: contradiction with 99.46% confidence."
"Madison Molineaux, 3, creates a snow angel by her home in St. Joseph, Michigan after a snow storm .","After a snow storm Madison Molineau the third created a snow angel at his home in St. Joseph MN.","antonym","Predicted Relationship: contradiction with 96.71% confidence."
"Heavy snowfall: Haley Rich, 14, front, Noah Brooks, 12, center, and Nolan Rich, 12, take advantage of a school snow day on Tuesday in St. Joseph, Michigan after inches of snow fell on the area .","In St. Joseph Mich. a heavy snowfall occurred Tuesday with the front Haley Rich the center Noah Brooks and the 12-year-old nolan Rich who took advantage of school days after inches of snow fell on the area.","RD","Predicted Relationship: entailment with 99.47% confidence."
"Heavy snowfall: Haley Rich, 14, front, Noah Brooks, 12, center, and Nolan Rich, 12, take advantage of a school snow day on Tuesday in St. Joseph, Michigan after inches of snow fell on the area .","In St. Joseph Mich. 14-year-old Haley Rich center and 12-year-old Noah Brooks who took advantage of school days Tuesday were heavily hit by snow after inches of snow fell on the area.","hypernym","Predicted Relationship: entailment with 99.08% confidence."
"Heavy snowfall: Haley Rich, 14, front, Noah Brooks, 12, center, and Nolan Rich, 12, take advantage of a school snow day on Tuesday in St. Joseph, Michigan after inches of snow fell on the area .","In St. Joseph Mich. 14-year-old Haley Rich front 12-year-old Noah Brooks and 12-year-old Nolan Rich who took advantage of school days Tuesday after inches of snow fell on the area had heavy snowfall.","polarity_negation","Predicted Relationship: entailment with 98.67% confidence."
"Heavy snowfall: Haley Rich, 14, front, Noah Brooks, 12, center, and Nolan Rich, 12, take advantage of a school snow day on Tuesday in St. Joseph, Michigan after inches of snow fell on the area .","In St. Joseph Mich. 14-year-old Haley Rich front 12-year-old Noah Brooks and 12-year-old Nolan Rich took advantage of school days Tuesday after central and central snows fell on the area.","RS","Predicted Relationship: neutral with 97.86% confidence."
"Heavy snowfall: Haley Rich, 14, front, Noah Brooks, 12, center, and Nolan Rich, 12, take advantage of a school snow day on Tuesday in St. Joseph, Michigan after inches of snow fell on the area .","In St. Joseph Mich. 14-year-old Haley Rich center and 12-year-old Noah Brooks abstained from school days Tuesday after inches of snow fell on the area.","antonym","Predicted Relationship: contradiction with 89.07% confidence."
"Struggle: Work continues at a construction site during a snow squall in Wrightstown, New Jersey .","Struggle.","RD","Predicted Relationship: entailment with 95.90% confidence."
"Struggle: Work continues at a construction site during a snow squall in Wrightstown, New Jersey .","Essay","hypernym","Predicted Relationship: contradiction with 85.64% confidence."
"Struggle: Work continues at a construction site during a snow squall in Wrightstown, New Jersey .","There is no struggle.","polarity_negation","Predicted Relationship: contradiction with 99.41% confidence."
"Struggle: Work continues at a construction site during a snow squall in Wrightstown, New Jersey .","Struggle.","RS","Predicted Relationship: entailment with 95.90% confidence."
"Struggle: Work continues at a construction site during a snow squall in Wrightstown, New Jersey .","Struggle.","antonym","Predicted Relationship: entailment with 95.90% confidence."
"Shelter: People walk through the first snowfall of winter in Brooklyn, New York on Tuesday morning .","People were walking Tuesday morning as snow fell on Brooklyn New York.","RD","Predicted Relationship: entailment with 99.87% confidence."
"Shelter: People walk through the first snowfall of winter in Brooklyn, New York on Tuesday morning .","Shelters for people walking as snow fell on Brooklyn New York for the first time Tuesday in the winter.","hypernym","Predicted Relationship: entailment with 99.57% confidence."
"Shelter: People walk through the first snowfall of winter in Brooklyn, New York on Tuesday morning .","Shelters for people walking in the winter storm that first fell Tuesday morning in Brooklyn New York.","polarity_negation","Predicted Relationship: entailment with 97.69% confidence."
"Shelter: People walk through the first snowfall of winter in Brooklyn, New York on Tuesday morning .","Shelters for people walking as snow fell on Brooklyn Brooklyn Tuesday morning in winter.","RS","Predicted Relationship: entailment with 98.95% confidence."
"Shelter: People walk through the first snowfall of winter in Brooklyn, New York on Tuesday morning .","Shelters for people walking as snow fell on Brooklyn New York for the first time Tuesday at sunset in winter.","antonym","Predicted Relationship: contradiction with 96.33% confidence."
"In Chicago on Monday, the National .","Monday the program was in Chicago.","RD","Predicted Relationship: entailment with 95.21% confidence."
"In Chicago on Monday, the National .","a href="http://www.nation.com/news/2011/06/06/chicago/">National/a> - Chicago weekdays/a>","hypernym","Predicted Relationship: neutral with 71.63% confidence."
"In Chicago on Monday, the National .","Monday National didn't have it in Chicago.","polarity_negation","Predicted Relationship: contradiction with 98.37% confidence."
"In Chicago on Monday, the National .","Monday National Chicago.","RS","Predicted Relationship: entailment with 96.38% confidence."
"In Chicago on Monday, the National .","Monday National Chicago.","antonym","Predicted Relationship: entailment with 96.38% confidence."
"Weather service recorded 0.4 inches of snow - the first of the season .","The weather service recorded 0.4 inches of snow for the first time this season.","RD","Predicted Relationship: entailment with 99.76% confidence."
"Weather service recorded 0.4 inches of snow - the first of the season .","The weather service recorded 0.4 inches (.04 inches) of snow for the first time in the season.","hypernym","Predicted Relationship: entailment with 94.14% confidence."
"Weather service recorded 0.4 inches of snow - the first of the season .","The weather service did not record 0.4 inches of snow for the first time in the season.","polarity_negation","Predicted Relationship: contradiction with 99.02% confidence."
"Weather service recorded 0.4 inches of snow - the first of the season .","The weather service recorded 0.4 inches of snow per season.","RS","Predicted Relationship: neutral with 61.88% confidence."
"Weather service recorded 0.4 inches of snow - the first of the season .","Weather disservice records 0.4 inches of snow for the first time in season.","antonym","Predicted Relationship: entailment with 99.68% confidence."
"and a week ahead of schedule - and today, the temperature is expected to reach 24 degrees, which is 11 below normal for the date.","And the scheduled time is a week ahead with temperatures expected to reach 24C 11C lower than normal at the time.","RD","Predicted Relationship: entailment with 99.71% confidence."
"and a week ahead of schedule - and today, the temperature is expected to reach 24 degrees, which is 11 below normal for the date.","And the scheduled time is a week ahead with temperatures expected to reach 24C today 11 degrees lower than normal at the time.","hypernym","Predicted Relationship: entailment with 99.49% confidence."
"and a week ahead of schedule - and today, the temperature is expected to reach 24 degrees, which is 11 below normal for the date.","And the schedule is a week ahead with temperatures expected to reach 24C today 11 degrees lower than normal for the date.","polarity_negation","Predicted Relationship: entailment with 98.31% confidence."
"and a week ahead of schedule - and today, the temperature is expected to reach 24 degrees, which is 11 below normal for the date.","And the scheduled time is a week ahead with expected temperatures to reach 24C today 11C lower than normal for the date.","RS","Predicted Relationship: entailment with 99.83% confidence."
"and a week ahead of schedule - and today, the temperature is expected to reach 24 degrees, which is 11 below normal for the date.","And the scheduled time is a week ahead with temperatures expected to reach 24C today 11 degrees lower than normal at the time.","antonym","Predicted Relationship: entailment with 99.49% confidence."
"And the Weather Service reported that even the Southeast can expect surprisingly low temperatures in the teens.","The Weather Service reports that even the southeast could expect surprising low temperatures.","RD","Predicted Relationship: entailment with 99.91% confidence."
"And the Weather Service reported that even the Southeast can expect surprisingly low temperatures in the teens.","And according to Weather Service documents even the southeast could expect surprising low temperatures.","hypernym","Predicted Relationship: entailment with 98.59% confidence."
"And the Weather Service reported that even the Southeast can expect surprisingly low temperatures in the teens.","And according to the Weather Service even the southeast could expect teens-low temperatures.","polarity_negation","Predicted Relationship: entailment with 99.95% confidence."
"And the Weather Service reported that even the Southeast can expect surprisingly low temperatures in the teens.","And in the southeast expect teens temperatures which can be reported even by the Weather Service.","RS","Predicted Relationship: entailment with 99.83% confidence."
"And the Weather Service reported that even the Southeast can expect surprisingly low temperatures in the teens.","And the Weather Service reports that the odd southeastern could expect teens low temperatures.","antonym","Predicted Relationship: entailment with 98.77% confidence."
"As rain and clouds turn to snow, areas of the Great Lakes, the Ohio Valley, upstate New York and New England could see a dusting of snow this morning, according to the Weather Channel.",""As the rain and clouds turned to snow areas of the Great Plains Ohio Valley in upstate New York and New England could see dusting snow this morning" Weather Channel said.","RD","Predicted Relationship: contradiction with 63.39% confidence."
"As rain and clouds turn to snow, areas of the Great Lakes, the Ohio Valley, upstate New York and New England could see a dusting of snow this morning, according to the Weather Channel.",""As the rain and clouds turned to snow areas of the Great Lakes Ohio Valley in upstate New York and New England could see dusting snow this morning" Weather Channel said.","hypernym","Predicted Relationship: entailment with 99.37% confidence."
"As rain and clouds turn to snow, areas of the Great Lakes, the Ohio Valley, upstate New York and New England could see a dusting of snow this morning, according to the Weather Channel.",""Weather Channel" said Ohio Valley in upstate New York and New England could see dusting snow this morning as rain and clouds turned into snow areas of the Great Lakes.","polarity_negation","Predicted Relationship: entailment with 99.87% confidence."
"As rain and clouds turn to snow, areas of the Great Lakes, the Ohio Valley, upstate New York and New England could see a dusting of snow this morning, according to the Weather Channel.","Dusty Channel said that upstate New York's Ohio Valley and New England could see snow today morning as rain and clouds turned into snowy areas of the Great Lakes.","RS","Predicted Relationship: entailment with 52.93% confidence."
"As rain and clouds turn to snow, areas of the Great Lakes, the Ohio Valley, upstate New York and New England could see a dusting of snow this morning, according to the Weather Channel.",""Weather Channel" said Ohio Valley in upstate New York and New England could see dusting snow this morning as rain and clouds turned into snow areas of the Great Lakes.","antonym","Predicted Relationship: entailment with 99.87% confidence."
"There could also be a little across New Jersey and New York City, which could make the morning commute more difficult, forecasters warned.","Forecasters also warned that there may be little across New Jersey and New York City making commutes more difficult at the time.","RD","Predicted Relationship: entailment with 99.71% confidence."
"There could also be a little across New Jersey and New York City, which could make the morning commute more difficult, forecasters warned.","Forecasters also warned that there may be little across New Jersey and New York City making morning commutes harder.","hypernym","Predicted Relationship: entailment with 99.94% confidence."
"There could also be a little across New Jersey and New York City, which could make the morning commute more difficult, forecasters warned.","Unpredictable forecasters also warned that there may be little across New Jersey and New York City making morning commutes more difficult.","polarity_negation","Predicted Relationship: neutral with 91.45% confidence."
"There could also be a little across New Jersey and New York City, which could make the morning commute more difficult, forecasters warned.","City also warned that there may be little across New Jersey and forecast New York making morning commutes more difficult.","RS","Predicted Relationship: entailment with 97.33% confidence."
"There could also be a little across New Jersey and New York City, which could make the morning commute more difficult, forecasters warned.","Forecasters also warned that there may be little across New Jersey and New York City making morning commutes less difficult.","antonym","Predicted Relationship: contradiction with 99.66% confidence."
"Low temperatures: Nearly a third of the country is experiencing temperatures between 10 and 20 degrees lower than normal for this time of year.","Nearly 1/3 of the people experience temperatures between 10 and 20 degrees lower than normal for this time of year.","RD","Predicted Relationship: entailment with 99.23% confidence."
"Low temperatures: Nearly a third of the country is experiencing temperatures between 10 and 20 degrees lower than normal for this time of year.","The temperature is due to nearly 1/3 of the country experiencing temperatures between 10 and 20 degrees lower than normal for this time of year.","hypernym","Predicted Relationship: entailment with 99.17% confidence."
"Low temperatures: Nearly a third of the country is experiencing temperatures between 10 and 20 degrees lower than normal for this time of year.","Not nearly one third of the country experiences temperatures between 10 and 20 degrees lower than normal for this time of year.","polarity_negation","Predicted Relationship: contradiction with 99.03% confidence."
"Low temperatures: Nearly a third of the country is experiencing temperatures between 10 and 20 degrees lower than normal for this time of year.","The temperature is due to nearly 1/3 of the country experiencing temperatures between 20 and 10 degrees lower than normal for this time of year.","RS","Predicted Relationship: entailment with 98.67% confidence."
"Low temperatures: Nearly a third of the country is experiencing temperatures between 10 and 20 degrees lower than normal for this time of year.","The temperature is because nearly 1/3 of the country experiences temperatures between 10 and 20 degrees lower than normal for this time of year.","antonym","Predicted Relationship: entailment with 99.22% confidence."
"This map shows the temperatures this morning .","This map shows the temperature at this date.","RD","Predicted Relationship: neutral with 93.71% confidence."
"This map shows the temperatures this morning .","This map shows somatesthesia in the morning.","hypernym","Predicted Relationship: contradiction with 98.13% confidence."
"This map shows the temperatures this morning .","This map does not show the temperature in the morning.","polarity_negation","Predicted Relationship: contradiction with 98.96% confidence."
"This map shows the temperatures this morning .","This map shows the temperature in the morning.","RS","Predicted Relationship: entailment with 97.53% confidence."
"This map shows the temperatures this morning .","This map hides the temperatures in the morning.","antonym","Predicted Relationship: contradiction with 98.84% confidence."
"Cold front: A NOAA satellite image shows a cold front with rain and snow showers moving across the Northeast, and the Ohio and Tennessee Valleys early on Tuesday morning .","Images from the National Oceanic and Atmospheric Administration satellites showed a cold front with rain and snow showers moving northeast through the Ohio and Tennessee valleys early Tuesday.","RD","Predicted Relationship: entailment with 91.31% confidence."
"Cold front: A NOAA satellite image shows a cold front with rain and snow showers moving across the Northeast, and the Ohio and Tennessee Valleys early on Tuesday morning .","Images from the National Oceanic and Atmospheric Administration satellites showed a cold front with rain and snow showers moving through the northeast Ohio and Tennessee valleys early Tuesday morning.","hypernym","Predicted Relationship: entailment with 98.07% confidence."
"Cold front: A NOAA satellite image shows a cold front with rain and snow showers moving across the Northeast, and the Ohio and Tennessee Valleys early on Tuesday morning .","The National Oceanic and Atmospheric Administration satellite image showed a cold front with rain and snow showers moving northeast through the Ohio and Tennessee valleys early Tuesday morning.","polarity_negation","Predicted Relationship: entailment with 78.64% confidence."
"Cold front: A NOAA satellite image shows a cold front with rain and snow showers moving across the Northeast, and the Ohio and Tennessee Valleys early on Tuesday morning .","The National Oceanic Administration of Tennessee satellite images showed a cold front with rain and snow showers moving northeast through the Ohio and and Tennessee valleys early Tuesday morning.","RS","Predicted Relationship: entailment with 65.67% confidence."
"Cold front: A NOAA satellite image shows a cold front with rain and snow showers moving across the Northeast, and the Ohio and Tennessee Valleys early on Tuesday morning .","The National Oceanic and Atmospheric Administration satellite image hid a cold front with rain and snow showers that moved into the northeast Ohio and Tennessee valleys early Tuesday morning.","antonym","Predicted Relationship: entailment with 69.32% confidence."
"In these areas, the snow could settle on grass but is not expected to accumulate on roads.","In the area snow may have settled on grass but it is not expected to accumulate on roads.","RD","Predicted Relationship: entailment with 99.19% confidence."
"In these areas, the snow could settle on grass but is not expected to accumulate on roads.","In this area snow may have settled on the hit but it is not expected to accumulate on roads.","hypernym","Predicted Relationship: entailment with 91.11% confidence."
"In these areas, the snow could settle on grass but is not expected to accumulate on roads.","In this area snow may have settled into the grass but it is not expected to accumulate on the roads.","polarity_negation","Predicted Relationship: entailment with 97.53% confidence."
"In these areas, the snow could settle on grass but is not expected to accumulate on roads.","In this area snow may have settled on grass but it is not expected to accumulate on roads.","RS","Predicted Relationship: entailment with 95.70% confidence."
"In these areas, the snow could settle on grass but is not expected to accumulate on roads.","In this area snow may have floated over grass but it was not expected to accumulate on roads.","antonym","Predicted Relationship: entailment with 86.55% confidence."
"But they said it would not be enough for a .","But they say it isn't enough.","RD","Predicted Relationship: entailment with 99.26% confidence."
"But they said it would not be enough for a .","But they say it isn't enough to lie.","hypernym","Predicted Relationship: neutral with 97.74% confidence."
"But they said it would not be enough for a .","But they say it isn't enough that it doesn't.","polarity_negation","Predicted Relationship: neutral with 75.14% confidence."
"But they said it would not be enough for a .","But it isn't enough for them it is said.","RS","Predicted Relationship: entailment with 99.16% confidence."
"But they said it would not be enough for a .","But they say it isn't enough.","antonym","Predicted Relationship: entailment with 99.26% confidence."
"as sometimes occurs this time of year.","This time of year.","RD","Predicted Relationship: entailment with 99.41% confidence."
"as sometimes occurs this time of year.","Sometimes this time of year.","hypernym","Predicted Relationship: entailment with 99.71% confidence."
"as sometimes occurs this time of year.","Not sometimes this time of year.","polarity_negation","Predicted Relationship: contradiction with 99.86% confidence."
"as sometimes occurs this time of year.","Sometimes this time of year","RS","Predicted Relationship: entailment with 99.79% confidence."
"as sometimes occurs this time of year.","Sometimes this time of year.","antonym","Predicted Relationship: entailment with 99.71% confidence."
"In Massachusetts, snow is expected to fall but won't be around for long.","In Massachusetts snow is expected to fall but it's been around for a long time.","RD","Predicted Relationship: contradiction with 99.34% confidence."
"In Massachusetts, snow is expected to fall but won't be around for long.","In Massachusetts snow is expected to fall but not for some length of time.","hypernym","Predicted Relationship: entailment with 99.79% confidence."
"In Massachusetts, snow is expected to fall but won't be around for long.","In Massachusetts no snow is expected to fall but it won't be long around.","polarity_negation","Predicted Relationship: contradiction with 99.71% confidence."
"In Massachusetts, snow is expected to fall but won't be around for long.","In Massachusetts snow is expected to fall but it won't be around long.","RS","Predicted Relationship: entailment with 99.86% confidence."
"In Massachusetts, snow is expected to fall but won't be around for long.","In Massachusetts snow is expected to fall but it won't be around long.","antonym","Predicted Relationship: entailment with 99.86% confidence."
"In upstate New York and Chicago where the snow has hit harder, commuters were warned their visibility could be reduced.","In upstate New York and Chicago where the snow hit harder commuters were warned that visibility could be reduced.","RD","Predicted Relationship: entailment with 99.92% confidence."
"In upstate New York and Chicago where the snow has hit harder, commuters were warned their visibility could be reduced.","In upstate New York and Chicago where the snow hit more than twice as hard commuters were warned that visibility could be reduced.","hypernym","Predicted Relationship: neutral with 99.96% confidence."
"In upstate New York and Chicago where the snow has hit harder, commuters were warned their visibility could be reduced.","In upstate New York and Chicago where the snow hit harder commuters were warned that visibility could be reduced.","polarity_negation","Predicted Relationship: entailment with 99.92% confidence."
"In upstate New York and Chicago where the snow has hit harder, commuters were warned their visibility could be reduced.","In upstate New York and Chicago where the snow hit commuters hard more people were warned that their visibility could be reduced.","RS","Predicted Relationship: neutral with 78.26% confidence."
"In upstate New York and Chicago where the snow has hit harder, commuters were warned their visibility could be reduced.","In upstate New York and Chicago where the snow was more pronounced commuters were warned that visibility could be reduced.","antonym","Predicted Relationship: entailment with 99.82% confidence."
"Covered: Leaves and freshly fallen snow coat a car in St. Joseph, Michigan on Tuesday morning .","Leafs and fresh fallen snow covered cars in St. Joseph MN Tuesday.","RD","Predicted Relationship: entailment with 60.85% confidence."
"Covered: Leaves and freshly fallen snow coat a car in St. Joseph, Michigan on Tuesday morning .","Leafs and fresh fallen snow covered the automotive vehicles in St. Joseph MN Tuesday morning.","hypernym","Predicted Relationship: entailment with 80.30% confidence."
"Covered: Leaves and freshly fallen snow coat a car in St. Joseph, Michigan on Tuesday morning .","In St. Joseph in non-Michigan the car was covered in a coat of leaves and fresh-fallen snow Tuesday morning.","polarity_negation","Predicted Relationship: contradiction with 97.66% confidence."
"Covered: Leaves and freshly fallen snow coat a car in St. Joseph, Michigan on Tuesday morning .","Freshness was covered Tuesday morning in St. Joseph Mich. by leaves and car-falling snow.","RS","Predicted Relationship: entailment with 79.18% confidence."
"Covered: Leaves and freshly fallen snow coat a car in St. Joseph, Michigan on Tuesday morning .","Leafy and salty snow covered the car in St. Joseph MN Tuesday morning.","antonym","Predicted Relationship: neutral with 81.68% confidence."
"Winter climes: A sparrow is perched in a lilac bush in St. Albans, West Virginia after snow fell overnight .","Winter climes * Sparrow perched on lilac bush in St. West Virginia after overnight snowfall","RD","Predicted Relationship: entailment with 98.36% confidence."
"Winter climes: A sparrow is perched in a lilac bush in St. Albans, West Virginia after snow fell overnight .","Winter climes * Sparrow perched on lilac bush in St. Alban West Virginia after overnight snowfall","hypernym","Predicted Relationship: entailment with 99.53% confidence."
"Winter climes: A sparrow is perched in a lilac bush in St. Albans, West Virginia after snow fell overnight .","Winter climes * After overnight snowfall sparrows perched on lilac bush in St. Alban not West Virginia.","polarity_negation","Predicted Relationship: contradiction with 94.53% confidence."
"Winter climes: A sparrow is perched in a lilac bush in St. Albans, West Virginia after snow fell overnight .","Winter climes * After overnight snowfall sparrows perched on St. bush in the lilac city of Albany West Virginia.","RS","Predicted Relationship: contradiction with 56.92% confidence."
"Winter climes: A sparrow is perched in a lilac bush in St. Albans, West Virginia after snow fell overnight .","Winter climes * Sparrow perched on lilac bush in St. Alban West Virginia after overnight snow increase","antonym","Predicted Relationship: entailment with 95.71% confidence."
"Hard hit: Three inches of snow and gray skies hit the area of Lake Michigan in New Buffalo, Michigan over night.","The area of Lake Michigan in New Michigan was hard hit by 3 inches of snow and a gray sky over the night.","RD","Predicted Relationship: entailment with 99.83% confidence."
"Hard hit: Three inches of snow and gray skies hit the area of Lake Michigan in New Buffalo, Michigan over night.","Hardly arrived in the Lake Michigan area of New Buffalo Michigan hit by 3 inches of snow and gray skies over night.","hypernym","Predicted Relationship: entailment with 99.65% confidence."
"Hard hit: Three inches of snow and gray skies hit the area of Lake Michigan in New Buffalo, Michigan over night.","The Lake Michigan area in New Buffalo MI was hard hit not with 3 inches of snow and a gray sky over the night.","polarity_negation","Predicted Relationship: entailment with 89.90% confidence."
"Hard hit: Three inches of snow and gray skies hit the area of Lake Michigan in New Buffalo, Michigan over night.","The Lake Michigan area in Buffalo Mich. was hard hit by 3 inches of snow and a gray sky over New.","RS","Predicted Relationship: entailment with 99.19% confidence."
"Hard hit: Three inches of snow and gray skies hit the area of Lake Michigan in New Buffalo, Michigan over night.","The Lake Michigan area in New Buffalo Michigan hit by 3 inches of snow and gray skies over the night is hard to miss.","antonym","Predicted Relationship: neutral with 98.78% confidence."
"A cold front is forcing icy temperatures across the U.S., bringing the first snows to the east .","The U.S. front forced ice temperatures across the country so it was the first snow eastward.","RD","Predicted Relationship: entailment with 82.55% confidence."
"A cold front is forcing icy temperatures across the U.S., bringing the first snows to the east .","A cold front forced a fundamental ice measure across the U.S. so it was the first snow eastward.","hypernym","Predicted Relationship: entailment with 98.02% confidence."
"A cold front is forcing icy temperatures across the U.S., bringing the first snows to the east .","A cold front forced ice temperatures across the U.S. so it was the first snow not to the east.","polarity_negation","Predicted Relationship: contradiction with 90.97% confidence."
"A cold front is forcing icy temperatures across the U.S., bringing the first snows to the east .","A cold front forced ice temperatures across the U.S. so it was the first snow eastward.","RS","Predicted Relationship: entailment with 98.41% confidence."
"A cold front is forcing icy temperatures across the U.S., bringing the first snows to the east .","Cold backs forced ice temperatures across the U.S. so it was the first snow eastward.","antonym","Predicted Relationship: entailment with 89.17% confidence."
"Forecasters also warned that the snow .","Forecasters also warned.","RD","Predicted Relationship: entailment with 99.86% confidence."
"Forecasters also warned that the snow .","Forecast shape also warned of snow.","hypernym","Predicted Relationship: entailment with 80.55% confidence."
"Forecasters also warned that the snow .","Forecasters also warned against snow.","polarity_negation","Predicted Relationship: entailment with 93.22% confidence."
"Forecasters also warned that the snow .","Forecasters also warned of snow.","RS","Predicted Relationship: entailment with 99.93% confidence."
"Forecasters also warned that the snow .","Forecasters also warned of snow.","antonym","Predicted Relationship: entailment with 99.93% confidence."
"that fell yesterday across Illinois will likely turn to slush today, .","Snow that fell across the state yesterday is likely to turn to slush today.","RD","Predicted Relationship: entailment with 95.05% confidence."
"that fell yesterday across Illinois will likely turn to slush today, .","Snow that fell across Illinois yesterday is likely to turn to swash today.","hypernym","Predicted Relationship: entailment with 66.34% confidence."
